[LOG][2000-01-01 06:13] Temp: 18.9C, Press: 100.2Pa, Humid: 66.1%, Volt: 13.9V, Flow: 13.6 L/min, CO2: 383 ppm
[LOG][2000-01-02 05:38] Temp: 20.1C, Press: 88.0Pa, Humid: 42.1%, Volt: 12.6V, Flow: 10.2 L/min, CO2: 407 ppm
[LOG][2000-01-03 20:46] Temp: 25.8C, Press: 99.4Pa, Humid: 37.5%, Volt: 13.2V, Flow: 14.1 L/min, CO2: 365 ppm
[LOG][2000-01-03 21:52] Temp: 30.1C, Press: 100.5Pa, Humid: 61.9%, Volt: 11.4V, Flow: 13.5 L/min, CO2: 400 ppm
[LOG][2000-01-04 13:05] Temp: 22.8C, Press: 100.8Pa, Humid: 37.9%, Volt: 11.6V, Flow: 14.4 L/min, CO2: 435 ppm
[LOG][2000-01-04 21:22] Temp: 17.6C, Press: 103.4Pa, Humid: 62.7%, Volt: 11.8V, Flow: 6.8 L/min, CO2: 497 ppm
[LOG][2000-01-05 01:00] Temp: 24.6C, Press: 99.9Pa, Humid: 39.3%, Volt: 11.6V, Flow: 10.1 L/min, CO2: 368 ppm
[LOG][2000-01-05 19:27] Temp: 29.6C, Press: 101.6Pa, Humid: 65.2%, Volt: 12.4V, Flow: 8.8 L/min, CO2: 455 ppm
[LOG][2000-01-06 03:13] Temp: 30.4C, Press: 100.3Pa, Humid: 42.4%, Volt: 13.7V, Flow: 12.5 L/min, CO2: 356 ppm
[LOG][2000-01-06 20:39] Temp: 29.1C, Press: 98.5Pa, Humid: 36.4%, Volt: 12.0V, Flow: 6.8 L/min, CO2: 367 ppm
[LOG][2000-01-06 22:03] Temp: 31.6C, Press: 101.8Pa, Humid: 42.0%, Volt: 11.8V, Flow: 13.4 L/min, CO2: 374 ppm
[LOG][2000-01-07 07:16] Temp: 17.4C, Press: 99.4Pa, Humid: 71.3%, Volt: 11.3V, Flow: 5.1 L/min, CO2: 361 ppm
[LOG][2000-01-07 12:09] Temp: 17.2C, Press: 100.9Pa, Humid: 71.2%, Volt: 13.9V, Flow: 10.9 L/min, CO2: 356 ppm
[LOG][2000-01-07 14:17] Temp: 3.9C, Press: 102.8Pa, Humid: 68.0%, Volt: 12.9V, Flow: 0.2 L/min, CO2: 390 ppm
[LOG][2000-01-08 10:39] Temp: 0.6C, Press: 102.6Pa, Humid: 98.2%, Volt: 12.4V, Flow: 14.8 L/min, CO2: 418 ppm
[LOG][2000-01-09 10:22] Temp: 20.5C, Press: 104.9Pa, Humid: 69.2%, Volt: 13.1V, Flow: 9.4 L/min, CO2: 371 ppm
[LOG][2000-01-09 10:35] Temp: 24.5C, Press: 103.7Pa, Humid: 39.6%, Volt: 13.9V, Flow: 6.7 L/min, CO2: 490 ppm
[LOG][2000-01-09 22:41] Temp: 19.5C, Press: 99.8Pa, Humid: 31.2%, Volt: 11.7V, Flow: 13.6 L/min, CO2: 488 ppm
[LOG][2000-01-10 00:58] Temp: 24.5C, Press: 103.6Pa, Humid: 67.5%, Volt: 11.3V, Flow: 7.3 L/min, CO2: 428 ppm
[LOG][2000-01-10 09:31] Temp: 16.0C, Press: 100.0Pa, Humid: 39.7%, Volt: 11.4V, Flow: 11.1 L/min, CO2: 396 ppm
[LOG][2000-01-10 18:46] Temp: 29.4C, Press: 102.3Pa, Humid: 53.3%, Volt: 11.8V, Flow: 10.7 L/min, CO2: 484 ppm
[DEBUG] Interval Check
[LOG][2000-01-11 17:04] Temp: 32.4C, Press: 104.2Pa, Humid: 55.5%, Volt: 13.6V, Flow: 14.1 L/min, CO2: 494 ppm
[LOG][2000-01-11 22:10] Temp: 30.9C, Press: 102.1Pa, Humid: 41.1%, Volt: 13.7V, Flow: 13.6 L/min, CO2: 376 ppm
[LOG][2000-01-12 16:09] Temp: 17.9C, Press: 100.4Pa, Humid: 42.6%, Volt: 11.9V, Flow: 12.1 L/min, CO2: 372 ppm
[LOG][2000-01-13 04:45] Temp: 24.2C, Press: 102.3Pa, Humid: 72.4%, Volt: 13.9V, Flow: 7.5 L/min, CO2: 485 ppm
[LOG][2000-01-14 21:45] Temp: 26.2C, Press: 103.9Pa, Humid: 31.6%, Volt: 12.5V, Flow: 9.8 L/min, CO2: 393 ppm
[LOG][2000-01-15 12:38] Temp: 25.2C, Press: 102.0Pa, Humid: 63.0%, Volt: 11.0V, Flow: 5.3 L/min, CO2: 500 ppm
[LOG][2000-01-16 15:07] Temp: 27.3C, Press: 100.0Pa, Humid: 47.1%, Volt: 11.6V, Flow: 14.8 L/min, CO2: 352 ppm
[LOG][2000-01-16 17:09] Temp: 18.5C, Press: 103.0Pa, Humid: 58.4%, Volt: 13.1V, Flow: 13.9 L/min, CO2: 436 ppm
[LOG][2000-01-17 11:25] Temp: 30.7C, Press: 102.6Pa, Humid: 31.1%, Volt: 13.2V, Flow: 11.1 L/min, CO2: 440 ppm
[LOG][2000-01-17 13:54] Temp: 32.4C, Press: 103.9Pa, Humid: 61.7%, Volt: 13.9V, Flow: 10.7 L/min, CO2: 395 ppm
[LOG][2000-01-18 03:04] Temp: 20.9C, Press: 98.9Pa, Humid: 73.0%, Volt: 17.3V, Flow: 14.8 L/min, CO2: 397 ppm
[LOG][2000-01-18 21:18] Temp: 18.9C, Press: 102.1Pa, Humid: 48.2%, Volt: 12.3V, Flow: 13.1 L/min, CO2: 376 ppm
[LOG][2000-01-19 05:25] Temp: 26.9C, Press: 100.0Pa, Humid: 55.6%, Volt: 13.9V, Flow: 7.6 L/min, CO2: 443 ppm
[LOG][2000-01-19 13:19] Temp: 28.3C, Press: 104.0Pa, Humid: 43.0%, Volt: 11.5V, Flow: 6.1 L/min, CO2: 437 ppm
[LOG][2000-01-19 19:22] Temp: 32.9C, Press: 100.2Pa, Humid: 75.7%, Volt: 13.7V, Flow: 6.0 L/min, CO2: 500 ppm
[LOG][2000-01-20 10:36] Temp: 22.3C, Press: 100.2Pa, Humid: 54.3%, Volt: 14.0V, Flow: 12.0 L/min, CO2: 367 ppm
[LOG][2000-01-20 15:08] Temp: 19.3C, Press: 98.2Pa, Humid: 45.3%, Volt: 11.9V, Flow: 7.3 L/min, CO2: 424 ppm
[LOG][2000-01-20 23:24] Temp: 21.0C, Press: 100.2Pa, Humid: 62.7%, Volt: 13.7V, Flow: 14.8 L/min, CO2: 474 ppm
[LOG][2000-01-21 00:26] Temp: 19.2C, Press: 99.4Pa, Humid: 59.9%, Volt: 13.0V, Flow: 13.6 L/min, CO2: 461 ppm
[LOG][2000-01-21 18:30] Temp: 29.0C, Press: 99.2Pa, Humid: 63.0%, Volt: 11.5V, Flow: 8.1 L/min, CO2: 396 ppm
[LOG][2000-01-21 23:54] Temp: 24.6C, Press: 103.4Pa, Humid: 50.8%, Volt: 13.2V, Flow: 10.3 L/min, CO2: 491 ppm
[LOG][2000-01-22 03:45] Temp: 27.3C, Press: 102.2Pa, Humid: 43.8%, Volt: 12.9V, Flow: 9.7 L/min, CO2: 364 ppm
[LOG][2000-01-22 22:19] Temp: 16.1C, Press: 99.7Pa, Humid: 49.9%, Volt: 13.4V, Flow: 14.6 L/min, CO2: 357 ppm
[LOG][2000-01-23 17:24] Temp: 19.1C, Press: 102.0Pa, Humid: 53.7%, Volt: 12.8V, Flow: 27.9 L/min, CO2: 361 ppm
[WARN] Flow Rate Anomaly - Flow: 27.9 L/min
[LOG][2000-01-23 19:06] Temp: 21.3C, Press: 100.8Pa, Humid: 32.6%, Volt: 12.9V, Flow: 10.1 L/min, CO2: 411 ppm
[LOG][2000-01-23 22:16] Temp: 30.7C, Press: 101.7Pa, Humid: 68.5%, Volt: 13.2V, Flow: 9.6 L/min, CO2: 410 ppm
[LOG][2000-01-24 08:41] Temp: 21.6C, Press: nanPa, Humid: 45.6%, Volt: nanV, Flow: 12.8 L/min, CO2: nan ppm
[ERROR] Sensor Disconnected - Volt: nan, Press: nan, CO2: nan
[LOG][2000-01-24 22:06] Temp: 30.3C, Press: 102.9Pa, Humid: 41.6%, Volt: 12.7V, Flow: 14.4 L/min, CO2: 473 ppm
[LOG][2000-01-25 09:12] Temp: 21.8C, Press: 103.3Pa, Humid: 75.6%, Volt: 12.2V, Flow: 5.5 L/min, CO2: 358 ppm
[LOG][2000-01-26 05:09] Temp: 55.8C, Press: 89.0Pa, Humid: 71.0%, Volt: 13.0V, Flow: 6.4 L/min, CO2: 492 ppm
[LOG][2000-01-27 14:38] Temp: 32.4C, Press: 98.9Pa, Humid: 64.8%, Volt: 12.5V, Flow: 11.9 L/min, CO2: 364 ppm
[LOG][2000-01-27 14:51] Temp: 34.6C, Press: 102.9Pa, Humid: 59.3%, Volt: 13.9V, Flow: 9.8 L/min, CO2: 487 ppm
[LOG][2000-01-27 17:43] Temp: 17.7C, Press: 101.6Pa, Humid: 50.1%, Volt: 12.1V, Flow: 10.7 L/min, CO2: 441 ppm
[LOG][2000-01-28 05:04] Temp: 33.6C, Press: 101.6Pa, Humid: 42.7%, Volt: 12.2V, Flow: 12.4 L/min, CO2: 469 ppm
[LOG][2000-01-28 21:51] Temp: 25.4C, Press: 99.5Pa, Humid: 51.5%, Volt: 12.9V, Flow: 10.9 L/min, CO2: 401 ppm
[LOG][2000-01-29 18:22] Temp: 33.7C, Press: 102.5Pa, Humid: 40.3%, Volt: 11.1V, Flow: 7.4 L/min, CO2: 397 ppm
[LOG][2000-01-30 01:57] Temp: 29.9C, Press: 100.7Pa, Humid: 56.5%, Volt: 13.1V, Flow: 9.9 L/min, CO2: 383 ppm
[LOG][2000-01-30 12:14] Temp: 18.9C, Press: 103.7Pa, Humid: 51.7%, Volt: 12.6V, Flow: 5.1 L/min, CO2: 398 ppm
[LOG][2000-01-30 18:18] Temp: 26.4C, Press: 101.2Pa, Humid: 30.4%, Volt: 11.4V, Flow: 9.1 L/min, CO2: 441 ppm
[LOG][2000-01-31 01:51] Temp: 20.8C, Press: 102.0Pa, Humid: 61.2%, Volt: 12.2V, Flow: 9.8 L/min, CO2: 478 ppm
[LOG][2000-01-31 02:04] Temp: 22.2C, Press: 104.9Pa, Humid: 30.6%, Volt: 13.6V, Flow: 7.9 L/min, CO2: 355 ppm
[LOG][2000-02-01 02:38] Temp: 28.0C, Press: 104.0Pa, Humid: 45.3%, Volt: 12.3V, Flow: 10.7 L/min, CO2: 357 ppm
[LOG][2000-02-02 21:21] Temp: 21.7C, Press: 99.0Pa, Humid: 79.4%, Volt: 13.4V, Flow: 11.4 L/min, CO2: 442 ppm
[LOG][2000-02-03 00:05] Temp: 17.6C, Press: 98.1Pa, Humid: 66.0%, Volt: 13.4V, Flow: 13.3 L/min, CO2: 454 ppm
[LOG][2000-02-03 00:37] Temp: 26.5C, Press: 102.1Pa, Humid: 64.2%, Volt: 13.0V, Flow: 9.7 L/min, CO2: 400 ppm
[LOG][2000-02-03 10:05] Temp: 21.8C, Press: 100.9Pa, Humid: 38.9%, Volt: 12.0V, Flow: 13.4 L/min, CO2: 460 ppm
[LOG][2000-02-04 19:50] Temp: 25.0C, Press: 99.9Pa, Humid: 54.5%, Volt: 12.0V, Flow: 12.4 L/min, CO2: 476 ppm
[LOG][2000-02-05 05:56] Temp: 34.0C, Press: 100.0Pa, Humid: 43.2%, Volt: 13.5V, Flow: 12.5 L/min, CO2: 452 ppm
[LOG][2000-02-05 21:09] Temp: 32.2C, Press: 99.0Pa, Humid: 36.6%, Volt: 12.6V, Flow: 5.4 L/min, CO2: 380 ppm
[LOG][2000-02-06 13:08] Temp: 23.1C, Press: 100.6Pa, Humid: 50.9%, Volt: 13.0V, Flow: 5.3 L/min, CO2: 444 ppm
[LOG][2000-02-07 14:27] Temp: 33.4C, Press: 103.7Pa, Humid: 58.8%, Volt: 12.2V, Flow: 7.3 L/min, CO2: 425 ppm
[LOG][2000-02-08 05:17] Temp: 21.5C, Press: 99.0Pa, Humid: 65.6%, Volt: 12.2V, Flow: 14.2 L/min, CO2: 480 ppm
[LOG][2000-02-08 21:30] Temp: 28.9C, Press: 99.9Pa, Humid: 38.3%, Volt: 12.8V, Flow: 14.3 L/min, CO2: 450 ppm
[LOG][2000-02-08 21:35] Temp: 24.9C, Press: 98.8Pa, Humid: 55.8%, Volt: 11.9V, Flow: 0.8 L/min, CO2: 457 ppm
[LOG][2000-02-09 03:22] Temp: 20.2C, Press: 98.7Pa, Humid: 79.2%, Volt: 17.3V, Flow: 6.9 L/min, CO2: 363 ppm
[WARN] Low Voltage Warning - Volt: 17.3V
[LOG][2000-02-09 23:41] Temp: 25.1C, Press: 103.3Pa, Humid: 70.2%, Volt: 13.1V, Flow: 7.0 L/min, CO2: 466 ppm
[LOG][2000-02-10 02:10] Temp: 15.4C, Press: 98.1Pa, Humid: 58.0%, Volt: 11.6V, Flow: 13.5 L/min, CO2: 411 ppm
[LOG][2000-02-10 03:32] Temp: 25.3C, Press: 102.3Pa, Humid: 52.1%, Volt: 12.4V, Flow: 6.3 L/min, CO2: 400 ppm
[LOG][2000-02-10 17:12] Temp: 20.3C, Press: 126.4Pa, Humid: 99.7%, Volt: 13.2V, Flow: 14.1 L/min, CO2: 443 ppm
[LOG][2000-02-11 07:23] Temp: 22.7C, Press: 104.5Pa, Humid: 62.1%, Volt: 12.3V, Flow: 8.3 L/min, CO2: 468 ppm
[LOG][2000-02-11 10:10] Temp: 17.5C, Press: 102.1Pa, Humid: 73.9%, Volt: 13.3V, Flow: 11.2 L/min, CO2: 465 ppm
