event_date,variant_id,gender,age,impressions,users,clicks,conversions,purchases,revenue
2011-10-09,control,M,30s,140,1,67,37,356,364.5899999999999
2011-12-09,control,M,50s,130,2,62,33,254,358.3
2010-12-17,control,M,20s,115,3,53,26,441,1134.8899999999996
2011-02-10,control,F,20s,159,3,81,43,4936,1490.6999999999998
2011-11-08,test,M,20s,85,2,38,22,243,372.13
2011-10-11,control,M,50s,257,3,129,68,535,1047.0099999999998
2011-08-05,control,M,20s,598,2,292,153,915,1589.1900000000003
2011-11-09,test,M,40s,474,3,215,113,2101,3815.250000000001
2011-03-07,test,F,40s,51,1,22,14,74,217.2
2011-06-08,test,F,30s,533,3,264,135,735,1064.6000000000006
2011-01-05,test,M,30s,107,1,53,28,571,417.81000000000006
2011-06-30,test,M,30s,117,1,56,29,94,131.06
2011-05-20,test,M,40s,148,1,61,39,336,968.5000000000002
2011-11-07,control,M,30s,188,2,89,47,227,464.1
2011-11-16,control,F,20s,167,2,84,48,204,464.05999999999983
2011-06-07,control,F,30s,296,2,146,72,259,273.44
2011-07-07,control,F,30s,213,2,97,50,849,1309.21
2011-11-16,control,F,30s,106,1,54,29,143,319.86
2011-08-02,control,M,20s,57,1,34,15,222,189.94
2011-11-09,control,M,50s,444,2,199,106,398,470.4399999999999
2011-10-28,control,M,50s,228,2,109,55,879,2009.5200000000002
2011-09-07,control,M,50s,233,2,114,62,820,1351.0200000000004
2011-08-01,control,F,40s,11,1,5,3,30,57.3
2011-01-25,test,F,20s,105,1,50,24,316,636.9400000000002
2011-10-10,test,F,30s,397,2,197,97,569,763.15
2010-12-05,test,M,20s,223,1,92,52,83,238.10999999999987
2011-09-20,test,M,40s,372,2,194,92,495,885.2900000000001
2011-07-12,test,F,40s,179,1,76,41,334,393.3100000000002
2011-08-18,control,M,20s,328,1,166,86,1154,1964.8500000000004
2011-11-23,test,M,30s,111,1,49,28,219,348.3800000000001
2011-10-13,control,M,30s,543,1,261,138,444,579.2199999999999
2011-02-07,control,F,40s,222,2,107,55,460,719.8600000000004
2010-12-09,test,F,30s,440,3,207,110,378,725.6600000000007
2011-10-19,test,F,30s,443,4,205,110,1449,2099.9000000000005
2011-11-23,test,M,20s,189,1,92,48,441,852.81
2011-11-17,test,M,40s,343,3,163,88,741,1988.58
2011-08-21,test,M,30s,82,1,37,22,236,400.2200000000001
2011-10-13,control,M,20s,302,2,137,72,552,950.0799999999996
2010-12-09,test,F,20s,180,4,92,46,403,1399.9599999999996
2011-02-08,test,F,30s,87,1,40,19,57,150.25999999999996
