event_date,variant_id,gender,age,row_count,user_count,click_sum,conversion_sum,purchase_sum,revenue_sum,click_sq_sum,conversion_sq_sum,purchase_sq_sum,revenue_sq_sum
2011-03-03,control,M,40s,75,1,34,20,459,294.3299999999999,34,20,14697,5290.5464999999995
2011-09-29,control,F,20s,143,1,66,35,565,615.3900000000001,66,35,12341,12865.013300000008
2011-04-10,control,M,20s,291,2,130,71,582,1074.9399999999998,130,71,29220,142288.4266000001
2011-06-24,control,M,40s,129,1,65,31,413,634.7400000000002,65,31,9365,17584.247599999995
2011-12-08,test,M,20s,267,2,137,67,235,518.9100000000001,137,67,1489,7529.013900000002
2011-01-19,control,M,20s,232,3,114,60,646,763.94,114,60,64872,49943.402200000004
2011-08-12,control,F,30s,53,1,21,14,190,316.99,21,14,3972,9280.8141
2010-12-14,control,M,20s,160,3,77,41,218,410.46999999999986,77,41,5142,11243.6365
2011-09-09,control,F,20s,209,1,101,53,255,377.05999999999995,101,53,2851,4315.650200000002
2011-05-27,test,F,30s,164,1,76,42,111,157.58,76,42,599,948.5431999999998
2011-08-23,test,F,40s,145,1,62,29,269,524.0999999999999,62,29,3739,10799.983800000002
2011-11-30,test,F,30s,90,1,42,19,236,402.22,42,19,4808,9218.216400000001
2011-10-10,control,F,20s,280,2,133,73,334,577.6000000000001,133,73,2380,10472.4818
2011-01-31,control,M,20s,332,3,148,76,765,1481.3000000000002,148,76,14979,49766.10020000001
2011-06-02,control,M,20s,1118,4,549,295,3661,11344.120000000003,549,295,156969,1445597.9002000003
2011-10-20,test,M,50s,339,2,159,80,741,933.1299999999995,159,80,15359,20662.43450000001
2011-12-06,control,F,20s,651,2,307,162,324,605.5600000000002,307,162,1404,4819.426399999999
2011-10-26,test,M,50s,74,2,35,18,366,710.18,35,18,23586,68849.58899999998
2011-11-06,control,F,30s,160,2,67,38,302,634.73,67,38,4018,12426.5421
2011-06-28,control,M,40s,269,1,127,66,460,1452.35,127,66,5134,39133.7725
2011-10-26,test,F,50s,927,1,459,239,921,1285.4799999999996,459,239,9459,12779.483600000003
2011-03-24,control,F,30s,461,1,202,114,224,433.2899999999997,202,114,3592,6332.424500000001
2010-12-13,test,M,40s,383,3,178,88,579,1104.8599999999997,178,88,7443,26883.763800000004
2010-12-03,control,F,20s,106,1,42,25,64,122.15000000000002,42,25,1092,1624.6726999999998
2011-10-06,control,M,20s,1097,2,516,264,1260,1955.53,516,264,13984,36528.12410000004
2011-11-06,control,F,20s,241,1,115,64,638,1303.1400000000006,115,64,10206,30662.046200000004
2010-12-15,control,M,20s,236,3,105,53,258,720.4700000000001,105,53,2960,21881.6551
2011-06-23,test,M,50s,151,1,73,44,554,473.81999999999994,73,44,23118,8931.044000000002
2011-03-13,control,F,50s,220,2,94,58,395,430.50000000000017,94,58,9205,5523.395000000003
2011-01-25,control,M,30s,124,1,60,34,162,389.90000000000003,60,34,966,5958.595
2011-10-30,control,M,50s,292,3,144,80,367,979.72,144,80,3571,22726.691599999995
2011-02-03,test,F,30s,131,1,63,34,5880,6549.119999999999,63,34,1929936,1648724.5680000002
2011-07-15,control,F,20s,641,2,297,164,687,1431.39,297,164,8805,36143.39270000001
2011-11-03,test,F,30s,234,3,118,63,4369,5942.159999999998,118,63,1318149,2961365.610200001
2011-09-29,control,F,30s,695,3,344,169,1354,1985.0400000000009,344,169,20156,42183.870200000005
2011-07-19,control,M,50s,500,6,229,126,1211,2505.8899999999994,229,126,18453,108523.38589999992
2011-01-11,control,M,20s,208,2,108,54,178,315.37999999999994,108,54,2956,5461.2962
2011-10-06,control,F,50s,201,2,102,51,688,1438.6399999999999,102,51,24524,73030.97980000002
2011-11-20,test,M,30s,332,2,162,84,538,887.48,162,84,10092,23938.318799999997
2011-08-14,test,M,20s,261,1,132,67,86,241.47999999999996,132,67,134,1457.2913999999996
2011-03-14,test,M,40s,458,2,215,118,335,899.0000000000001,215,118,1589,11407.585800000006
2011-11-28,control,F,50s,76,1,35,21,342,485.9599999999999,35,21,7404,19168.906399999996
2011-10-17,control,M,20s,432,3,217,107,744,1662.0900000000006,217,107,8786,37763.79290000001
2011-11-17,test,F,30s,511,2,231,117,948,2502.539999999998,231,117,16480,193816.98480000018
2011-05-10,test,F,40s,51,1,27,13,128,215.64999999999998,27,13,2292,4077.4825
2011-11-14,control,F,20s,224,1,104,53,146,355.13999999999993,104,53,1812,4424.7196
