event_date,variant_id,gender,age,impressions,users,clicks,purchases,revenue
2010-12-03,control,M,40s,31,1,31.0,356.0,736.28
2010-12-05,test,M,50s,16,1,16.0,101.0,209.84
2010-12-06,test,M,50s,16,1,16.0,67.0,214.32
2010-12-09,test,M,20s,26,1,26.0,66.0,165.65000000000003
2010-12-10,test,F,40s,33,2,33.0,92.0,263.2999999999999
2010-12-14,control,F,20s,37,2,37.0,155.0,339.34999999999985
2011-01-11,test,M,50s,81,2,81.0,1290.0,1613.86
2011-01-12,control,F,50s,39,1,39.0,373.0,812.2500000000001
2011-01-16,test,M,50s,25,1,25.0,83.0,161.3
2011-01-21,control,M,40s,8,1,8.0,8.0,23.799999999999997
2011-01-25,test,F,50s,24,1,24.0,141.0,199.32999999999998
2011-01-27,test,F,20s,6,1,6.0,110.0,242.42000000000002
2011-01-28,test,M,30s,8,1,8.0,74.0,313.7
2011-01-31,test,F,40s,13,1,13.0,151.0,265.05
2011-02-10,test,M,40s,19,1,19.0,50.0,85.86
2011-02-15,test,F,30s,24,1,24.0,236.0,397.0399999999999
2011-02-17,control,F,40s,14,1,14.0,190.0,304.65999999999997
2011-02-21,test,M,50s,5,1,5.0,336.0,567.8399999999999
2011-02-21,control,F,40s,78,1,78.0,418.0,732.3600000000004
2011-02-22,control,F,20s,16,1,16.0,474.0,402.66
2011-02-22,control,F,30s,64,1,64.0,495.0,825.0400000000001
2011-02-23,control,F,50s,16,1,16.0,37.0,151.55
2011-02-23,test,F,50s,7,1,7.0,42.0,123.30000000000001
2011-02-24,control,M,40s,28,1,28.0,86.0,127.85999999999999
2011-03-03,control,F,30s,9,1,9.0,97.0,137.10000000000002
2011-03-03,control,F,20s,4,1,4.0,53.0,166.04
2011-03-04,test,M,30s,16,1,16.0,125.0,317.25
2011-03-04,test,M,20s,16,1,16.0,224.0,240.68
2011-03-15,control,F,50s,17,1,17.0,192.0,271.5
2011-03-20,control,M,50s,11,1,11.0,83.0,185.85
2011-03-21,control,M,20s,31,1,31.0,74.0,151.89999999999998
2011-03-30,test,M,40s,7,1,7.0,60.0,303.32
2011-03-31,test,M,40s,35,1,35.0,2271.0,3243.129999999999
2011-04-03,test,F,20s,12,1,12.0,364.0,280.56
2011-04-05,test,M,30s,22,1,22.0,45.0,114.64000000000001
2011-04-05,test,F,50s,16,1,16.0,202.0,316.0199999999999
2011-04-06,test,F,50s,12,1,12.0,26.0,72.9
2011-04-07,test,M,40s,22,1,22.0,152.0,188.13000000000002
2011-04-08,control,F,40s,11,1,11.0,63.0,183.15
2011-04-11,test,F,40s,5,1,5.0,52.0,134.8
2011-04-12,control,M,40s,27,1,27.0,194.0,355.77000000000004
2011-04-18,test,M,30s,14,1,14.0,6432.0,2949.1200000000003
2011-04-21,control,F,20s,24,2,24.0,164.0,456.39
2011-04-28,test,F,50s,20,1,20.0,228.0,331.18
2011-05-03,test,M,20s,15,1,15.0,135.0,494.84999999999997
2011-05-04,control,M,50s,27,3,27.0,512.0,948.9400000000002
2011-05-05,control,M,40s,19,2,19.0,171.0,375.5799999999999
2011-05-06,control,M,20s,26,2,26.0,520.0,816.1200000000001
2011-05-12,test,F,30s,20,1,20.0,160.0,375.56
2011-05-13,test,M,50s,7,1,7.0,102.0,309.6
2011-05-15,test,M,20s,66,2,66.0,129.0,272.53999999999974
2011-05-18,test,M,50s,24,1,24.0,223.0,380.9099999999999
2011-05-20,control,F,20s,26,1,26.0,519.0,814.95
2011-05-24,test,M,50s,114,3,114.0,1019.0,1786.190000000001
2011-05-24,control,F,40s,19,1,19.0,68.0,211.49999999999997
2011-05-25,control,F,50s,28,1,28.0,102.0,196.89999999999998
2011-05-26,test,M,20s,9,1,9.0,276.0,360.4800000000001
2011-05-31,control,M,50s,62,3,62.0,413.0,1136.77
2011-06-05,control,F,20s,69,2,69.0,477.0,893.7799999999999
2011-06-06,control,F,40s,32,3,32.0,213.0,507.4299999999999
2011-06-07,control,F,50s,19,1,19.0,139.0,418.44999999999993
2011-06-07,control,M,40s,18,1,18.0,296.0,450.4
2011-06-08,test,F,50s,16,2,16.0,397.0,300.19000000000005
2011-06-10,control,M,50s,20,3,20.0,380.0,687.7600000000001
2011-06-10,test,M,30s,14,1,14.0,55.0,149.89
2011-06-10,test,M,20s,4,1,4.0,25.0,147.75
2011-06-22,control,M,50s,16,1,16.0,429.0,335.87
2011-06-23,control,M,20s,16,1,16.0,145.0,276.93000000000006
2011-06-27,test,M,30s,9,1,9.0,292.0,310.12
2011-06-30,test,M,50s,31,1,31.0,287.0,530.47
2011-07-06,test,M,50s,8,2,8.0,341.0,682.7099999999999
2011-07-08,test,M,20s,27,1,27.0,95.0,185.81
