event_id,user_id,session_id,event_time,event_type,order_id,amount
A0000001,100004,S000007,2025-07-04 15:44:31,click,,0.0
A0000002,100006,S000011,2025-07-10 06:02:34,click,,0.0
A0000003,100009,S000017,2025-07-06 16:21:25,click,,0.0
A0000004,100009,S000017,2025-07-06 16:27:52,purchase,O000001,40981.61
A0000005,100010,S000020,2025-07-09 18:35:30,click,,0.0
A0000006,100011,S000021,2025-07-11 23:06:14,click,,0.0
A0000007,100012,S000024,2025-07-02 15:29:22,click,,0.0
A0000008,100014,S000027,2025-07-13 01:58:35,click,,0.0
A0000009,100016,S000031,2025-07-04 06:11:09,click,,0.0
A0000010,100019,S000035,2025-07-13 21:09:00,click,,0.0
A0000011,100020,S000036,2025-07-13 20:08:46,click,,0.0
A0000012,100022,S000040,2025-07-09 09:46:40,click,,0.0
A0000013,100022,S000040,2025-07-09 09:52:52,purchase,O000002,11877.95
A0000014,100023,S000041,2025-07-02 03:15:56,click,,0.0
A0000015,100026,S000046,2025-07-04 13:47:28,click,,0.0
A0000016,100026,S000046,2025-07-04 13:54:38,purchase,O000003,42858.23
A0000017,100029,S000053,2025-07-14 20:34:38,click,,0.0
A0000018,100031,S000057,2025-07-04 11:09:41,click,,0.0
A0000019,100031,S000057,2025-07-04 11:16:10,purchase,O000004,29438.34
A0000020,100033,S000060,2025-07-03 06:13:55,click,,0.0
A0000021,100034,S000061,2025-07-03 20:27:40,click,,0.0
A0000022,100037,S000066,2025-07-09 03:39:45,click,,0.0
A0000023,100037,S000066,2025-07-09 03:40:57,purchase,O000005,22770.22
A0000024,100041,S000074,2025-07-02 22:03:49,click,,0.0
A0000025,100046,S000080,2025-07-04 03:38:04,click,,0.0
A0000026,100055,S000093,2025-07-05 17:52:38,click,,0.0
A0000027,100055,S000093,2025-07-05 18:02:11,purchase,O000006,47897.68
A0000028,100063,S000106,2025-07-11 23:50:02,click,,0.0
A0000029,100065,S000109,2025-07-13 15:25:57,click,,0.0
A0000030,100068,S000112,2025-07-09 09:50:05,click,,0.0
A0000031,100071,S000120,2025-07-02 10:57:54,click,,0.0
A0000032,100072,S000121,2025-07-05 18:46:38,click,,0.0
A0000033,100076,S000129,2025-07-12 21:22:09,click,,0.0
A0000034,100078,S000135,2025-07-14 22:49:11,click,,0.0
A0000035,100084,S000144,2025-07-08 04:50:46,click,,0.0
A0000036,100087,S000148,2025-07-14 15:34:14,click,,0.0
A0000037,100090,S000151,2025-07-02 17:32:45,click,,0.0
A0000038,100093,S000155,2025-07-10 11:22:42,click,,0.0
A0000039,100093,S000155,2025-07-10 11:32:24,purchase,O000007,37782.56
A0000040,100093,S000156,2025-07-10 08:56:37,click,,0.0
A0000041,100093,S000157,2025-07-10 14:06:10,click,,0.0
A0000042,100096,S000162,2025-07-11 04:56:10,click,,0.0
A0000043,100096,S000162,2025-07-11 05:05:32,purchase,O000008,30507.16
A0000044,100096,S000163,2025-07-11 06:05:38,click,,0.0
A0000045,100097,S000164,2025-07-09 22:57:08,click,,0.0
A0000046,100124,S000206,2025-07-08 07:02:33,click,,0.0
A0000047,100125,S000207,2025-07-04 07:19:27,click,,0.0
A0000048,100127,S000212,2025-07-13 08:20:19,click,,0.0
A0000049,100128,S000214,2025-07-13 12:08:21,click,,0.0
A0000050,100130,S000218,2025-07-06 18:45:07,click,,0.0
A0000051,100135,S000228,2025-07-03 04:01:26,click,,0.0
A0000052,100136,S000230,2025-07-13 22:20:02,click,,0.0
A0000053,100140,S000236,2025-07-01 13:33:30,click,,0.0
A0000054,100144,S000241,2025-07-12 11:52:51,click,,0.0
A0000055,100148,S000247,2025-07-04 23:39:43,click,,0.0
A0000056,100151,S000251,2025-07-04 08:31:08,click,,0.0
A0000057,100153,S000255,2025-07-03 16:57:02,click,,0.0
A0000058,100158,S000263,2025-07-03 11:39:59,click,,0.0
A0000059,100158,S000263,2025-07-03 11:49:43,purchase,O000009,25093.55
A0000060,100162,S000270,2025-07-05 23:35:53,click,,0.0
A0000061,100163,S000271,2025-07-11 16:33:25,click,,0.0
A0000062,100163,S000272,2025-07-11 18:59:15,click,,0.0
A0000063,100171,S000285,2025-07-04 15:58:49,click,,0.0
A0000064,100172,S000287,2025-07-02 10:11:15,click,,0.0
A0000065,100174,S000289,2025-07-08 02:22:23,click,,0.0
A0000066,100174,S000289,2025-07-08 02:24:38,purchase,O000010,13137.15
A0000067,100179,S000298,2025-07-14 10:51:50,click,,0.0
A0000068,100179,S000298,2025-07-14 10:53:00,purchase,O000011,42579.53
A0000069,100179,S000299,2025-07-14 07:02:07,click,,0.0
A0000070,100179,S000299,2025-07-14 07:05:32,purchase,O000012,39482.57
A0000071,100184,S000305,2025-07-07 14:15:25,click,,0.0
A0000072,100191,S000315,2025-07-14 06:32:03,click,,0.0
A0000073,100192,S000318,2025-07-10 08:35:03,click,,0.0
A0000074,100192,S000319,2025-07-10 08:33:36,click,,0.0
A0000075,100192,S000319,2025-07-10 08:41:08,purchase,O000013,32446.44
A0000076,100199,S000331,2025-07-05 21:02:44,click,,0.0
A0000077,100200,S000332,2025-07-04 08:16:04,click,,0.0
A0000078,100201,S000335,2025-07-07 02:17:34,click,,0.0
A0000079,100202,S000336,2025-07-07 06:57:40,click,,0.0
A0000080,100202,S000337,2025-07-07 04:34:08,click,,0.0
A0000081,100207,S000347,2025-07-15 03:00:20,click,,0.0
A0000082,100210,S000353,2025-07-11 20:23:16,click,,0.0
A0000083,100211,S000355,2025-07-06 04:33:26,click,,0.0
A0000084,100213,S000358,2025-07-06 15:52:03,click,,0.0
A0000085,100217,S000370,2025-07-02 08:25:45,click,,0.0
A0000086,100219,S000373,2025-07-02 19:03:09,click,,0.0
A0000087,100222,S000381,2025-07-14 11:10:12,click,,0.0
A0000088,100222,S000381,2025-07-14 11:16:58,purchase,O000014,46419.81
A0000089,100223,S000382,2025-07-07 21:00:39,click,,0.0
A0000090,100224,S000383,2025-07-11 15:25:18,click,,0.0
A0000091,100224,S000383,2025-07-11 15:27:27,purchase,O000015,32943.32
A0000092,100226,S000385,2025-07-04 20:32:58,click,,0.0
A0000093,100237,S000403,2025-07-14 00:03:50,click,,0.0
A0000094,100244,S000412,2025-07-02 16:02:17,click,,0.0
A0000095,100244,S000412,2025-07-02 16:03:04,purchase,O000016,16536.38
A0000096,100245,S000415,2025-07-13 10:56:51,click,,0.0
A0000097,100245,S000415,2025-07-13 10:58:49,purchase,O000017,49400.37
A0000098,100245,S000416,2025-07-13 07:49:21,click,,0.0
A0000099,100249,S000422,2025-07-04 23:26:45,click,,0.0
A0000100,100250,S000423,2025-07-12 05:43:55,click,,0.0
A0000101,100250,S000423,2025-07-12 05:48:16,purchase,O000018,31044.66
A0000102,100257,S000435,2025-07-03 17:35:32,click,,0.0
A0000103,100261,S000443,2025-07-10 14:47:51,click,,0.0
A0000104,100263,S000446,2025-07-07 00:17:02,click,,0.0
A0000105,100265,S000449,2025-07-14 18:40:36,click,,0.0
A0000106,100266,S000451,2025-07-15 00:44:14,click,,0.0
A0000107,100266,S000452,2025-07-15 01:56:30,click,,0.0
A0000108,100273,S000462,2025-07-05 16:10:00,click,,0.0
A0000109,100274,S000466,2025-07-03 12:27:21,click,,0.0
A0000110,100276,S000470,2025-07-09 00:05:16,click,,0.0
A0000111,100276,S000470,2025-07-09 00:07:51,purchase,O000019,32261.78
A0000112,100276,S000471,2025-07-09 04:31:32,click,,0.0
A0000113,100276,S000471,2025-07-09 04:32:53,purchase,O000020,41318.75
A0000114,100276,S000472,2025-07-09 04:33:34,click,,0.0
A0000115,100277,S000473,2025-07-06 13:52:06,click,,0.0
A0000116,100279,S000477,2025-07-03 00:41:51,click,,0.0
A0000117,100279,S000477,2025-07-03 00:44:30,purchase,O000021,24327.68
A0000118,100280,S000479,2025-07-11 18:06:42,click,,0.0
A0000119,100285,S000486,2025-07-10 06:27:29,click,,0.0
A0000120,100292,S000496,2025-07-05 18:37:23,click,,0.0
A0000121,100292,S000496,2025-07-05 18:43:51,purchase,O000022,30795.67
A0000122,100293,S000498,2025-07-05 20:31:51,click,,0.0
A0000123,100295,S000501,2025-07-10 22:03:27,click,,0.0
A0000124,100302,S000515,2025-07-10 04:47:26,click,,0.0
A0000125,100306,S000521,2025-07-13 21:51:23,click,,0.0
A0000126,100308,S000526,2025-07-07 18:23:25,click,,0.0
A0000127,100309,S000528,2025-07-12 16:06:44,click,,0.0
A0000128,100310,S000529,2025-07-02 14:18:40,click,,0.0
A0000129,100310,S000529,2025-07-02 14:25:08,purchase,O000023,24429.05
A0000130,100316,S000539,2025-07-01 21:18:50,click,,0.0
A0000131,100317,S000541,2025-07-03 18:07:42,click,,0.0
A0000132,100319,S000546,2025-07-03 04:14:34,click,,0.0
A0000133,100319,S000546,2025-07-03 04:16:41,purchase,O000024,37344.47
A0000134,100321,S000548,2025-07-08 19:27:59,click,,0.0
A0000135,100328,S000561,2025-07-04 15:27:17,click,,0.0
A0000136,100337,S000575,2025-07-14 10:58:21,click,,0.0
A0000137,100341,S000580,2025-07-04 19:35:38,click,,0.0
A0000138,100342,S000582,2025-07-15 05:17:38,click,,0.0
A0000139,100342,S000582,2025-07-15 05:19:45,purchase,O000025,15607.36
A0000140,100343,S000584,2025-07-02 08:54:25,click,,0.0
A0000141,100343,S000584,2025-07-02 09:00:46,purchase,O000026,37750.97
A0000142,100347,S000589,2025-07-06 21:17:59,click,,0.0
A0000143,100348,S000592,2025-07-03 19:53:24,click,,0.0
A0000144,100352,S000600,2025-07-08 06:22:52,click,,0.0
A0000145,100357,S000608,2025-07-12 22:17:14,click,,0.0
A0000146,100365,S000620,2025-07-06 19:14:16,click,,0.0
A0000147,100367,S000624,2025-07-01 21:57:59,click,,0.0
A0000148,100367,S000625,2025-07-01 21:57:53,click,,0.0
A0000149,100369,S000628,2025-07-08 10:56:45,click,,0.0
A0000150,100369,S000628,2025-07-08 10:57:44,purchase,O000027,19691.07
A0000151,100372,S000632,2025-07-02 08:24:04,click,,0.0
