user_id,signup_date,country,device,age_group,variant
100001,2025-04-13,UK,tablet,45-54,1
100002,2025-06-29,UK,mobile,25-34,1
100003,2025-04-03,ES,mobile,18-24,0
100004,2025-01-15,FR,mobile,45-54,0
100005,2025-04-17,UK,mobile,25-34,1
100006,2025-03-13,FR,desktop,25-34,1
100007,2025-01-21,UK,desktop,18-24,0
100008,2025-04-13,FR,desktop,25-34,0
100009,2025-05-02,UK,mobile,55+,1
100010,2025-03-16,UK,mobile,25-34,1
100011,2025-03-29,UK,mobile,25-34,1
100012,2025-04-27,ES,desktop,35-44,0
100013,2025-04-10,DE,mobile,45-54,1
100014,2025-04-14,UK,mobile,25-34,1
100015,2025-06-01,UK,mobile,25-34,1
100016,2025-05-11,DE,desktop,55+,0
100017,2025-05-30,UK,mobile,35-44,1
100018,2025-02-22,UK,mobile,18-24,0
100019,2025-01-02,ES,mobile,18-24,1
100020,2025-03-29,UK,desktop,25-34,0
100021,2025-06-07,DE,mobile,25-34,1
100022,2025-02-07,ES,tablet,25-34,1
100023,2025-05-10,UK,mobile,45-54,0
100024,2025-01-21,UK,tablet,18-24,1
100025,2025-06-10,UK,desktop,35-44,0
100026,2025-02-27,DE,mobile,25-34,1
100027,2025-01-22,ES,desktop,45-54,1
100028,2025-03-30,DE,mobile,35-44,0
100029,2025-02-18,UK,tablet,18-24,1
100030,2025-02-28,DE,desktop,35-44,0
100031,2025-06-19,ES,mobile,18-24,0
100032,2025-01-15,FR,desktop,45-54,0
100033,2025-06-24,ES,tablet,45-54,1
100034,2025-02-20,DE,mobile,25-34,0
100035,2025-04-18,DE,mobile,25-34,1
100036,2025-02-24,FR,desktop,25-34,0
100037,2025-03-05,UK,desktop,35-44,1
100038,2025-05-11,UK,mobile,25-34,0
100039,2025-02-20,FR,mobile,25-34,1
100040,2025-05-15,UK,mobile,25-34,0
100041,2025-01-21,ES,mobile,18-24,1
100042,2025-03-14,ES,mobile,45-54,1
100043,2025-06-16,DE,tablet,18-24,0
100044,2025-01-18,UK,mobile,35-44,0
100045,2025-05-12,UK,desktop,25-34,1
100046,2025-03-30,UK,mobile,25-34,1
100047,2025-03-01,DE,mobile,35-44,0
100048,2025-01-14,DE,mobile,55+,0
100049,2025-01-09,ES,mobile,45-54,0
100050,2025-03-31,UK,desktop,25-34,1
100051,2025-02-22,ES,desktop,18-24,1
100052,2025-05-10,ES,desktop,45-54,1
100053,2025-03-25,UK,tablet,25-34,0
100054,2025-04-02,ES,desktop,18-24,0
100055,2025-04-21,UK,mobile,45-54,1
100056,2025-06-21,UK,desktop,45-54,0
100057,2025-01-08,FR,desktop,55+,1
100058,2025-06-24,UK,mobile,55+,0
100059,2025-02-04,FR,desktop,45-54,0
100060,2025-03-22,FR,mobile,18-24,1
100061,2025-06-13,FR,mobile,18-24,0
100062,2025-02-19,UK,desktop,35-44,0
100063,2025-04-14,FR,mobile,35-44,0
100064,2025-05-12,FR,mobile,25-34,0
100065,2025-01-02,FR,desktop,25-34,1
100066,2025-05-14,UK,mobile,25-34,0
100067,2025-02-23,UK,mobile,35-44,1
100068,2025-04-16,FR,desktop,18-24,0
100069,2025-01-04,UK,mobile,25-34,1
100070,2025-02-23,FR,mobile,35-44,1
100071,2025-05-26,DE,tablet,35-44,1
100072,2025-02-13,FR,desktop,18-24,1
100073,2025-06-11,FR,mobile,35-44,1
100074,2025-01-14,ES,desktop,35-44,1
100075,2025-04-05,DE,desktop,25-34,1
100076,2025-02-17,ES,mobile,18-24,1
100077,2025-01-15,DE,mobile,25-34,1
100078,2025-02-09,UK,mobile,25-34,0
100079,2025-03-23,UK,desktop,55+,0
100080,2025-04-21,FR,mobile,18-24,1
100081,2025-02-22,UK,mobile,35-44,0
100082,2025-01-24,FR,tablet,18-24,1
100083,2025-06-03,UK,desktop,25-34,1
100084,2025-05-04,FR,mobile,35-44,0
100085,2025-02-10,DE,mobile,25-34,0
100086,2025-06-06,DE,mobile,25-34,1
100087,2025-01-15,FR,mobile,18-24,0
100088,2025-02-14,DE,desktop,25-34,0
100089,2025-03-06,UK,desktop,35-44,1
100090,2025-03-30,ES,mobile,25-34,0
100091,2025-03-12,UK,mobile,45-54,0
100092,2025-01-09,ES,desktop,35-44,1
100093,2025-03-29,DE,mobile,25-34,0
100094,2025-05-09,UK,mobile,18-24,1
100095,2025-05-16,UK,mobile,25-34,1
100096,2025-03-04,FR,mobile,45-54,0
100097,2025-05-19,UK,tablet,25-34,1
100098,2025-03-22,UK,mobile,45-54,0
100099,2025-05-16,FR,mobile,25-34,0
100100,2025-06-12,FR,mobile,45-54,0
100101,2025-06-12,DE,tablet,18-24,0
100102,2025-02-02,ES,mobile,45-54,0
100103,2025-05-03,FR,mobile,25-34,1
100104,2025-01-05,FR,mobile,25-34,0
100105,2025-02-10,UK,mobile,25-34,1
100106,2025-01-28,DE,mobile,25-34,1
100107,2025-05-15,UK,desktop,55+,1
100108,2025-03-13,ES,mobile,25-34,0
100109,2025-01-12,DE,mobile,18-24,1
100110,2025-06-11,FR,desktop,35-44,1
100111,2025-02-02,UK,mobile,25-34,0
100112,2025-02-17,ES,mobile,35-44,0
100113,2025-05-31,DE,mobile,35-44,0
100114,2025-03-03,UK,tablet,25-34,1
100115,2025-02-06,UK,mobile,55+,0
100116,2025-04-09,DE,desktop,25-34,1
100117,2025-06-21,UK,desktop,18-24,0
100118,2025-04-14,ES,mobile,45-54,0
100119,2025-02-04,UK,tablet,35-44,0
100120,2025-04-11,UK,mobile,25-34,0
100121,2025-06-24,DE,mobile,35-44,1
100122,2025-05-11,UK,desktop,25-34,0
100123,2025-01-01,FR,desktop,25-34,0
100124,2025-01-05,UK,mobile,45-54,1
100125,2025-05-22,UK,mobile,18-24,0
100126,2025-04-13,FR,mobile,25-34,0
100127,2025-01-27,FR,desktop,45-54,1
100128,2025-05-17,FR,mobile,55+,0
100129,2025-01-15,DE,mobile,25-34,0
100130,2025-03-31,FR,mobile,35-44,1
100131,2025-02-11,UK,mobile,35-44,0
100132,2025-05-04,UK,desktop,55+,1
100133,2025-06-28,ES,mobile,45-54,0
100134,2025-03-04,DE,tablet,18-24,1
100135,2025-04-06,FR,mobile,25-34,0
100136,2025-02-21,UK,desktop,25-34,1
100137,2025-04-06,UK,mobile,45-54,0
100138,2025-05-12,DE,mobile,35-44,0
100139,2025-05-31,ES,mobile,35-44,1
100140,2025-05-23,DE,mobile,55+,0
100141,2025-06-20,DE,mobile,18-24,0
100142,2025-01-29,DE,tablet,25-34,1
100143,2025-02-05,UK,desktop,25-34,1
100144,2025-01-13,UK,mobile,25-34,1
100145,2025-06-09,UK,mobile,18-24,1
100146,2025-03-12,UK,mobile,18-24,1
100147,2025-03-27,ES,mobile,35-44,1
100148,2025-01-28,FR,desktop,45-54,0
100149,2025-03-07,FR,tablet,35-44,1
100150,2025-06-19,UK,mobile,35-44,0
100151,2025-02-14,UK,mobile,25-34,1
100152,2025-03-03,UK,mobile,45-54,0
100153,2025-05-14,UK,desktop,45-54,0
100154,2025-01-28,FR,mobile,35-44,0
100155,2025-01-28,UK,desktop,25-34,1
100156,2025-04-18,FR,desktop,18-24,0
100157,2025-02-13,UK,mobile,18-24,1
100158,2025-03-25,UK,desktop,35-44,1
100159,2025-01-30,UK,mobile,45-54,1
100160,2025-03-16,FR,desktop,45-54,1
100161,2025-05-08,DE,mobile,25-34,1
100162,2025-04-02,UK,mobile,45-54,1
100163,2025-05-09,UK,desktop,55+,0
100164,2025-05-01,DE,desktop,25-34,0
100165,2025-01-27,UK,desktop,25-34,0
100166,2025-05-01,UK,mobile,55+,1
100167,2025-04-26,DE,desktop,25-34,1
100168,2025-01-03,FR,mobile,55+,1
100169,2025-04-13,UK,desktop,55+,1
100170,2025-06-04,ES,mobile,35-44,0
100171,2025-05-17,DE,tablet,45-54,0
100172,2025-03-03,UK,tablet,45-54,0
100173,2025-06-14,FR,desktop,35-44,1
100174,2025-02-20,FR,mobile,25-34,1
100175,2025-06-21,UK,mobile,18-24,1
100176,2025-06-01,UK,desktop,25-34,1
100177,2025-02-28,UK,mobile,35-44,0
100178,2025-04-28,FR,desktop,18-24,0
100179,2025-06-09,UK,mobile,18-24,1
100180,2025-04-06,DE,mobile,18-24,1
100181,2025-06-29,DE,desktop,35-44,0
100182,2025-04-23,UK,mobile,55+,1
100183,2025-03-03,FR,mobile,55+,1
100184,2025-02-21,UK,mobile,25-34,0
100185,2025-01-12,FR,mobile,45-54,0
100186,2025-02-08,DE,desktop,35-44,1
100187,2025-05-10,UK,mobile,35-44,1
100188,2025-05-11,FR,tablet,35-44,1
