variant,country,device,metric,count_n,sum_value,sum_of_squares
0,DE,desktop,impression,81,125.0,229.0
0,DE,mobile,impression,128,212.0,414.0
0,DE,tablet,impression,20,33.0,65.0
0,ES,desktop,impression,36,64.0,136.0
0,ES,mobile,impression,94,158.0,312.0
0,ES,tablet,impression,6,11.0,23.0
0,FR,desktop,impression,55,91.0,173.0
0,FR,mobile,impression,130,215.0,415.0
0,FR,tablet,impression,14,25.0,51.0
0,UK,desktop,impression,128,208.0,398.0
0,UK,mobile,impression,281,483.0,987.0
0,UK,tablet,impression,31,54.0,106.0
1,DE,desktop,impression,58,105.0,223.0
1,DE,mobile,impression,123,208.0,424.0
1,DE,tablet,impression,13,25.0,55.0
1,ES,desktop,impression,40,64.0,122.0
1,ES,mobile,impression,96,152.0,288.0
1,ES,tablet,impression,14,23.0,45.0
1,FR,desktop,impression,69,118.0,244.0
1,FR,mobile,impression,133,230.0,472.0
1,FR,tablet,impression,15,30.0,70.0
1,UK,desktop,impression,130,228.0,462.0
1,UK,mobile,impression,272,460.0,916.0
1,UK,tablet,impression,33,56.0,108.0
0,DE,desktop,click,81,19.0,21.0
0,DE,mobile,click,128,44.0,56.0
0,DE,tablet,click,20,7.0,7.0
0,ES,desktop,click,36,12.0,16.0
0,ES,mobile,click,94,31.0,33.0
0,ES,tablet,click,6,5.0,7.0
0,FR,desktop,click,55,16.0,16.0
0,FR,mobile,click,130,47.0,51.0
0,FR,tablet,click,14,5.0,5.0
0,UK,desktop,click,128,38.0,44.0
0,UK,mobile,click,281,91.0,105.0
0,UK,tablet,click,31,11.0,13.0
1,DE,desktop,click,58,12.0,14.0
1,DE,mobile,click,123,36.0,48.0
1,DE,tablet,click,13,3.0,3.0
1,ES,desktop,click,40,9.0,9.0
1,ES,mobile,click,96,32.0,34.0
1,ES,tablet,click,14,4.0,6.0
1,FR,desktop,click,69,23.0,27.0
1,FR,mobile,click,133,53.0,73.0
1,FR,tablet,click,15,4.0,4.0
1,UK,desktop,click,130,41.0,51.0
1,UK,mobile,click,272,105.0,127.0
1,UK,tablet,click,33,15.0,17.0
0,DE,desktop,purchase,81,1.0,1.0
0,DE,mobile,purchase,128,9.0,9.0
0,DE,tablet,purchase,20,3.0,3.0
0,ES,desktop,purchase,36,1.0,1.0
0,ES,mobile,purchase,94,6.0,6.0
0,ES,tablet,purchase,6,0.0,0.0
0,FR,desktop,purchase,55,1.0,1.0
0,FR,mobile,purchase,130,12.0,12.0
0,FR,tablet,purchase,14,3.0,3.0
0,UK,desktop,purchase,128,5.0,5.0
0,UK,mobile,purchase,281,23.0,25.0
0,UK,tablet,purchase,31,2.0,2.0
1,DE,desktop,purchase,58,2.0,2.0
1,DE,mobile,purchase,123,10.0,12.0
1,DE,tablet,purchase,13,1.0,1.0
1,ES,desktop,purchase,40,3.0,3.0
1,ES,mobile,purchase,96,12.0,12.0
1,ES,tablet,purchase,14,1.0,1.0
1,FR,desktop,purchase,69,4.0,4.0
1,FR,mobile,purchase,133,20.0,22.0
1,FR,tablet,purchase,15,0.0,0.0
1,UK,desktop,purchase,130,10.0,10.0
1,UK,mobile,purchase,272,31.0,35.0
1,UK,tablet,purchase,33,5.0,5.0
0,DE,desktop,revenue,81,36077.91,1301615589.9681003
0,DE,mobile,revenue,128,261965.55,8507570962.3811
0,DE,tablet,revenue,20,89288.56,2660592083.4007998
0,ES,desktop,revenue,36,16594.3,275370792.48999995
0,ES,mobile,revenue,94,166486.76,4835310381.3712
0,ES,tablet,revenue,6,0.0,0.0
0,FR,desktop,revenue,55,27810.96,773449496.1215999
0,FR,mobile,revenue,130,437100.16000000003,17963479558.4882
0,FR,tablet,revenue,14,89384.6,2844651832.7094
0,UK,desktop,revenue,128,168372.21,6837253671.837299
0,UK,mobile,revenue,281,718188.6,27243380557.8524
0,UK,tablet,revenue,31,78805.89,3188637659.6273003
1,DE,desktop,revenue,58,40177.92,847302104.8832
1,DE,mobile,revenue,123,416214.99,21791535905.879303
1,DE,tablet,revenue,13,41236.35,1700436561.3225
1,ES,desktop,revenue,40,103538.86,3584181027.6646
1,ES,mobile,revenue,96,427853.5,17073039418.5802
1,ES,tablet,revenue,14,11877.95,141085696.20250002
1,FR,desktop,revenue,69,169898.46,7596125997.163
1,FR,mobile,revenue,133,731081.65,33371818904.5123
1,FR,tablet,revenue,15,0.0,0.0
1,UK,desktop,revenue,130,270021.08999999997,9517381347.949299
1,UK,mobile,revenue,272,1025892.97,43814651473.4107
1,UK,tablet,revenue,33,152240.43,5009616173.0499
