event_id,user_id,session_id,event_time,variant,page
E0000001,100001,S000001,2025-07-09 00:19:00,1,checkout_cta
E0000002,100001,S000002,2025-07-08 21:47:00,1,home_banner
E0000003,100002,S000003,2025-07-13 05:29:00,1,home_banner
E0000004,100002,S000004,2025-07-13 10:35:00,1,checkout_cta
E0000005,100003,S000005,2025-07-06 03:54:00,0,home_banner
E0000006,100003,S000006,2025-07-06 00:49:00,0,home_banner
E0000007,100004,S000007,2025-07-04 15:43:00,0,home_banner
E0000008,100004,S000008,2025-07-04 15:21:00,0,checkout_cta
E0000009,100005,S000009,2025-07-08 08:06:00,1,checkout_cta
E0000010,100005,S000010,2025-07-08 09:57:00,1,product_reco
E0000011,100006,S000011,2025-07-10 06:01:00,1,product_reco
E0000012,100007,S000012,2025-07-04 19:41:00,0,checkout_cta
E0000013,100008,S000013,2025-07-15 08:47:00,0,home_banner
E0000014,100008,S000014,2025-07-15 07:10:00,0,checkout_cta
E0000015,100008,S000015,2025-07-15 09:21:00,0,product_reco
E0000016,100009,S000016,2025-07-06 11:32:00,1,product_reco
E0000017,100009,S000017,2025-07-06 16:21:00,1,checkout_cta
E0000018,100009,S000018,2025-07-06 17:24:00,1,product_reco
E0000019,100010,S000019,2025-07-09 20:40:00,1,home_banner
E0000020,100010,S000020,2025-07-09 18:34:00,1,checkout_cta
E0000021,100011,S000021,2025-07-11 23:05:00,1,product_reco
E0000022,100011,S000022,2025-07-11 19:30:00,1,home_banner
E0000023,100012,S000023,2025-07-02 11:36:00,0,home_banner
E0000024,100012,S000024,2025-07-02 15:27:00,0,product_reco
E0000025,100013,S000025,2025-07-09 07:57:00,1,product_reco
E0000026,100014,S000026,2025-07-12 20:10:00,1,checkout_cta
E0000027,100014,S000027,2025-07-13 01:57:00,1,checkout_cta
E0000028,100014,S000028,2025-07-13 03:22:00,1,home_banner
E0000029,100015,S000029,2025-07-14 02:26:00,1,product_reco
E0000030,100015,S000030,2025-07-13 22:51:00,1,checkout_cta
E0000031,100016,S000031,2025-07-04 06:10:00,0,checkout_cta
E0000032,100017,S000032,2025-07-07 05:54:00,1,home_banner
E0000033,100018,S000033,2025-07-02 09:32:00,0,home_banner
E0000034,100018,S000034,2025-07-02 04:59:00,0,checkout_cta
E0000035,100019,S000035,2025-07-13 21:07:00,1,product_reco
E0000036,100020,S000036,2025-07-13 20:08:00,0,home_banner
E0000037,100020,S000037,2025-07-13 23:20:00,0,checkout_cta
E0000038,100021,S000038,2025-07-11 03:25:00,1,product_reco
E0000039,100022,S000039,2025-07-09 08:05:00,1,product_reco
E0000040,100022,S000040,2025-07-09 09:45:00,1,home_banner
E0000041,100023,S000041,2025-07-02 03:15:00,0,home_banner
E0000042,100023,S000042,2025-07-02 00:17:00,0,home_banner
E0000043,100024,S000043,2025-07-13 08:26:00,1,product_reco
E0000044,100025,S000044,2025-07-03 04:06:00,0,product_reco
E0000045,100025,S000045,2025-07-03 03:03:00,0,home_banner
E0000046,100026,S000046,2025-07-04 13:47:00,1,product_reco
E0000047,100026,S000047,2025-07-04 13:42:00,1,home_banner
E0000048,100026,S000048,2025-07-04 15:15:00,1,product_reco
E0000049,100027,S000049,2025-07-03 02:20:00,1,product_reco
E0000050,100028,S000050,2025-07-04 16:22:00,0,checkout_cta
E0000051,100028,S000051,2025-07-04 20:19:00,0,product_reco
E0000052,100028,S000052,2025-07-04 20:47:00,0,product_reco
E0000053,100029,S000053,2025-07-14 20:32:00,1,checkout_cta
E0000054,100029,S000054,2025-07-15 02:16:00,1,home_banner
E0000055,100030,S000055,2025-07-02 09:52:00,0,product_reco
E0000056,100030,S000056,2025-07-02 02:44:00,0,checkout_cta
E0000057,100031,S000057,2025-07-04 11:08:00,0,home_banner
E0000058,100032,S000058,2025-07-09 07:02:00,0,home_banner
E0000059,100033,S000059,2025-07-03 03:38:00,1,home_banner
E0000060,100033,S000060,2025-07-03 06:13:00,1,checkout_cta
E0000061,100034,S000061,2025-07-03 20:25:00,0,product_reco
E0000062,100034,S000062,2025-07-03 17:44:00,0,product_reco
E0000063,100035,S000063,2025-07-13 06:22:00,1,product_reco
E0000064,100036,S000064,2025-07-14 04:25:00,0,product_reco
E0000065,100036,S000065,2025-07-14 02:21:00,0,product_reco
E0000066,100037,S000066,2025-07-09 03:38:00,1,checkout_cta
E0000067,100037,S000067,2025-07-08 23:12:00,1,home_banner
E0000068,100037,S000068,2025-07-09 01:54:00,1,checkout_cta
E0000069,100038,S000069,2025-07-06 14:16:00,0,home_banner
E0000070,100039,S000070,2025-07-13 11:45:00,1,home_banner
