date,variant,impression,click,purchase,revenue,CTR,Conversion
2025-07-01,0,57,13,3,114358.39,0.22807017543859648,0.05263157894736842
2025-07-01,1,41,11,3,101775.6,0.2682926829268293,0.07317073170731707
2025-07-02,0,137,29,5,182945.68,0.2116788321167883,0.0364963503649635
2025-07-02,1,88,17,5,161434.38,0.19318181818181818,0.056818181818181816
2025-07-03,0,120,27,4,135282.22999999998,0.225,0.03333333333333333
2025-07-03,1,128,28,11,391404.46,0.21875,0.0859375
2025-07-04,0,116,25,6,215647.69,0.21551724137931033,0.05172413793103448
2025-07-04,1,109,21,6,219923.19,0.1926605504587156,0.05504587155963303
2025-07-05,0,150,20,6,176610.75,0.13333333333333333,0.04
2025-07-05,1,116,19,4,135061.74,0.16379310344827586,0.034482758620689655
2025-07-06,0,117,21,3,96696.36,0.1794871794871795,0.02564102564102564
2025-07-06,1,116,28,7,267429.08,0.2413793103448276,0.0603448275862069
2025-07-07,0,128,18,6,177782.88,0.140625,0.046875
2025-07-07,1,130,17,5,171265.94,0.13076923076923078,0.038461538461538464
2025-07-08,0,116,19,6,183077.52,0.16379310344827586,0.05172413793103448
2025-07-08,1,135,23,7,155985.29,0.17037037037037037,0.05185185185185185
2025-07-09,0,105,23,2,47020.03999999999,0.21904761904761905,0.01904761904761905
2025-07-09,1,93,24,9,278585.77,0.25806451612903225,0.0967741935483871
2025-07-10,0,115,24,5,170416.79,0.20869565217391303,0.043478260869565216
2025-07-10,1,121,23,7,279987.43,0.19008264462809918,0.05785123966942149
2025-07-11,0,95,26,4,138306.62,0.2736842105263158,0.042105263157894736
2025-07-11,1,122,19,7,216202.82,0.1557377049180328,0.05737704918032787
2025-07-12,0,104,23,5,128674.63,0.22115384615384615,0.04807692307692308
2025-07-12,1,155,30,6,181093.55000000002,0.1935483870967742,0.03870967741935484
2025-07-13,0,139,27,6,189609.83,0.19424460431654678,0.04316546762589928
2025-07-13,1,151,30,9,341493.77,0.1986754966887417,0.059602649006622516
2025-07-14,0,105,15,2,80622.83,0.14285714285714285,0.01904761904761905
2025-07-14,1,140,35,11,413827.81,0.25,0.07857142857142857
2025-07-15,0,75,16,3,53023.26,0.21333333333333335,0.04
2025-07-15,1,54,12,2,74563.34,0.2222222222222222,0.037037037037037035
