variant,country,device,metric,value
0,DE,desktop,CTR,0.152
0,DE,mobile,CTR,0.20754716981132076
0,DE,tablet,CTR,0.21212121212121213
0,ES,desktop,CTR,0.1875
0,ES,mobile,CTR,0.1962025316455696
0,ES,tablet,CTR,0.45454545454545453
0,FR,desktop,CTR,0.17582417582417584
0,FR,mobile,CTR,0.2186046511627907
0,FR,tablet,CTR,0.2
0,UK,desktop,CTR,0.18269230769230768
0,UK,mobile,CTR,0.18840579710144928
0,UK,tablet,CTR,0.2037037037037037
1,DE,desktop,CTR,0.11428571428571428
1,DE,mobile,CTR,0.17307692307692307
1,DE,tablet,CTR,0.12
1,ES,desktop,CTR,0.140625
1,ES,mobile,CTR,0.21052631578947367
1,ES,tablet,CTR,0.17391304347826086
1,FR,desktop,CTR,0.19491525423728814
1,FR,mobile,CTR,0.23043478260869565
1,FR,tablet,CTR,0.13333333333333333
1,UK,desktop,CTR,0.17982456140350878
1,UK,mobile,CTR,0.22826086956521738
1,UK,tablet,CTR,0.26785714285714285
0,DE,desktop,Conversion,0.008
0,DE,mobile,Conversion,0.04245283018867924
0,DE,tablet,Conversion,0.09090909090909091
0,ES,desktop,Conversion,0.015625
0,ES,mobile,Conversion,0.0379746835443038
0,ES,tablet,Conversion,0.0
0,FR,desktop,Conversion,0.01098901098901099
0,FR,mobile,Conversion,0.05581395348837209
0,FR,tablet,Conversion,0.12
0,UK,desktop,Conversion,0.02403846153846154
0,UK,mobile,Conversion,0.047619047619047616
0,UK,tablet,Conversion,0.037037037037037035
1,DE,desktop,Conversion,0.01904761904761905
1,DE,mobile,Conversion,0.04807692307692308
1,DE,tablet,Conversion,0.04
1,ES,desktop,Conversion,0.046875
1,ES,mobile,Conversion,0.07894736842105263
1,ES,tablet,Conversion,0.043478260869565216
1,FR,desktop,Conversion,0.03389830508474576
1,FR,mobile,Conversion,0.08695652173913043
1,FR,tablet,Conversion,0.0
1,UK,desktop,Conversion,0.043859649122807015
1,UK,mobile,Conversion,0.06739130434782609
1,UK,tablet,Conversion,0.08928571428571429
0,DE,desktop,Revenue_per_user,288.62328
0,DE,mobile,Revenue_per_user,1235.6865566037736
0,DE,tablet,Revenue_per_user,2705.713939393939
0,ES,desktop,Revenue_per_user,259.2859375
0,ES,mobile,Revenue_per_user,1053.713670886076
0,ES,tablet,Revenue_per_user,0.0
0,FR,desktop,Revenue_per_user,305.61494505494505
0,FR,mobile,Revenue_per_user,2033.024
0,FR,tablet,Revenue_per_user,3575.384
0,UK,desktop,Revenue_per_user,809.4817788461538
0,UK,mobile,Revenue_per_user,1486.9329192546584
0,UK,tablet,Revenue_per_user,1459.3683333333333
1,DE,desktop,Revenue_per_user,382.64685714285713
1,DE,mobile,Revenue_per_user,2001.0336057692307
1,DE,tablet,Revenue_per_user,1649.454
1,ES,desktop,Revenue_per_user,1617.7946875
1,ES,mobile,Revenue_per_user,2814.8256578947367
1,ES,tablet,Revenue_per_user,516.4326086956522
1,FR,desktop,Revenue_per_user,1439.8174576271185
1,FR,mobile,Revenue_per_user,3178.6158695652175
1,FR,tablet,Revenue_per_user,0.0
1,UK,desktop,Revenue_per_user,1184.3030263157896
1,UK,mobile,Revenue_per_user,2230.202108695652
1,UK,tablet,Revenue_per_user,2718.579107142857
