Date,Product,Quantity,Revenue
2025-05,Product_C,4,33439
2025-07,Product_C,69,28779
2025-02,Product_A,64,5972
2025-09,Product_B,49,4991
2025-01,Product_D,19,6267
2025-10,Product_E,2,48057
2025-08,Product_C,50,27938
2025-12,Product_A,93,8881
2025-07,Product_B,67,14569
2025-11,Product_B,45,41558
2025-11,Product_C,79,39523
2025-06,Product_D,62,33930
2025-08,Product_C,47,14624
2025-01,Product_D,100,21602
2025-09,Product_C,55,12083
2025-10,Product_C,42,10991
2025-09,Product_B,74,42782
2025-07,Product_C,90,26227
2025-04,Product_B,45,37961
2025-07,Product_D,11,47843
2025-09,Product_E,40,29916
2025-09,Product_D,1,10298
2025-01,Product_E,29,37326
2025-09,Product_E,13,46517
2025-02,Product_D,90,40700
2025-02,Product_B,14,7438
2025-05,Product_A,93,13567
2025-04,Product_E,60,26902
2025-08,Product_B,31,6909
2025-08,Product_A,59,41401
2025-11,Product_C,79,22930
2025-05,Product_A,62,9464
2025-06,Product_B,85,20405
2025-04,Product_B,80,39258
2025-03,Product_E,93,7692
2025-02,Product_E,86,26482
2025-07,Product_B,25,21093
2025-08,Product_A,46,11360
2025-03,Product_B,10,29890
2025-07,Product_C,37,16352
2025-03,Product_C,52,20250
2025-02,Product_E,15,13116
2025-04,Product_E,39,29576
2025-09,Product_A,73,11232
2025-08,Product_D,47,19011
2025-08,Product_D,21,12852
2025-05,Product_E,87,24961
2025-07,Product_E,2,25054
2025-06,Product_B,25,37384
2025-08,Product_A,42,35195
2025-08,Product_E,7,20078
2025-04,Product_A,33,36289
2025-07,Product_D,86,33682
2025-11,Product_D,97,29879
2025-08,Product_E,20,39884
2025-04,Product_E,83,4706
2025-01,Product_C,53,22888
2025-03,Product_B,22,9196
2025-12,Product_E,86,39536
2025-09,Product_D,5,18042
2025-07,Product_E,24,44918
2025-06,Product_C,1,4336
2025-11,Product_C,4,20918
2025-01,Product_D,72,13656
2025-04,Product_E,72,26999
2025-07,Product_D,48,48574
2025-10,Product_A,62,22511
2025-01,Product_D,98,32593
2025-09,Product_D,24,23061
2025-05,Product_B,92,7801
2025-09,Product_C,25,1259
2025-07,Product_E,70,31295
2025-04,Product_A,1,7794
2025-08,Product_E,2,20423
2025-12,Product_C,84,12046
2025-10,Product_A,9,44678
2025-04,Product_D,6,20051
2025-09,Product_D,25,11204
2025-04,Product_A,82,13640
2025-03,Product_D,70,16556
2025-12,Product_C,99,41783
2025-09,Product_E,51,35135
2025-12,Product_A,17,19792
2025-08,Product_C,19,38407
2025-05,Product_B,11,18458
2025-08,Product_D,71,17963
2025-11,Product_E,77,31322
2025-08,Product_B,71,5320
2025-12,Product_A,96,30778
2025-10,Product_B,52,47584
2025-02,Product_E,23,15547
2025-09,Product_D,6,45508
2025-02,Product_E,85,14951
2025-11,Product_A,90,18195
2025-02,Product_E,8,4630
2025-10,Product_A,84,40104
2025-12,Product_E,11,23897
2025-01,Product_D,73,47523
2025-04,Product_D,35,27584
2025-03,Product_C,84,27657
2025-05,Product_E,57,10426
2025-01,Product_A,53,43724
2025-06,Product_B,24,18335
2025-01,Product_B,77,44516
2025-03,Product_C,24,1540
2025-12,Product_E,59,18422
2025-12,Product_A,26,15784
2025-08,Product_B,29,17606
2025-06,Product_D,100,28570
2025-07,Product_C,13,1776
2025-04,Product_A,63,11561
2025-02,Product_D,53,46300
2025-05,Product_A,94,14065
2025-09,Product_B,91,38880
2025-04,Product_D,72,12252
2025-10,Product_B,9,45269
2025-07,Product_A,62,2311
2025-02,Product_E,86,14718
2025-06,Product_E,37,28789
2025-09,Product_A,30,28416
2025-03,Product_C,92,49596
2025-07,Product_C,59,3703
2025-01,Product_B,95,15984
2025-10,Product_D,8,4008
2025-11,Product_A,4,34826
2025-06,Product_E,75,32124
