invoiceno,description,quantity,invoicedate,unitprice,discount,shippingcost,category,saleschannel,returnstatus,orderpriority
221958,White Mug,38,2020-01-01 00:00,1.71,0.47,10.79,Apparel,In-store,Not Returned,Medium
771155,White Mug,18,2020-01-01 01:00,41.25,0.19,9.51,Electronics,Online,Not Returned,Medium
231932,Headphones,49,2020-01-01 02:00,29.11,0.35,23.03,Electronics,Online,Returned,High
465838,Desk Lamp,14,2020-01-01 03:00,76.68,0.14,11.08,Accessories,Online,Not Returned,Low
359178,USB Cable,-30,2020-01-01 04:00,-68.11,1.501433043360303,,Electronics,In-store,Not Returned,Medium
744167,Office Chair,47,2020-01-01 05:00,70.16,0.48,13.98,Electronics,Online,Not Returned,Medium
210268,USB Cable,25,2020-01-01 06:00,85.74,0.15,12.92,Stationery,Online,Not Returned,High
832180,Notebook,8,2020-01-01 07:00,95.65,0.04,6.48,Electronics,In-store,Not Returned,Low
154886,Wireless Mouse,19,2020-01-01 08:00,98.19,0.05,12.56,Apparel,Online,Not Returned,High
237337,Headphones,40,2020-01-01 09:00,98.17,0.16,7.71,Apparel,Online,Not Returned,Low
621430,Notebook,49,2020-01-01 10:00,87.56,0.19,9.83,Stationery,In-store,Returned,Medium
187498,Office Chair,41,2020-01-01 11:00,59.51,0.39,12.0,Furniture,In-store,Not Returned,Low
999159,Blue Pen,41,2020-01-01 12:00,25.59,0.01,15.58,Electronics,In-store,Not Returned,Medium
275203,Headphones,3,2020-01-01 13:00,2.09,0.47,19.22,Stationery,Online,Not Returned,Low
291335,Wall Clock,29,2020-01-01 14:00,35.88,0.06,14.85,Electronics,Online,Not Returned,High
378167,T-shirt,16,2020-01-01 15:00,82.58,0.41,27.02,Furniture,In-store,Not Returned,High
141090,Office Chair,7,2020-01-01 16:00,70.85,0.0,23.66,Apparel,In-store,Not Returned,High
429365,Headphones,49,2020-01-01 17:00,14.91,0.36,5.32,Stationery,Online,Not Returned,Medium
164820,Backpack,21,2020-01-01 18:00,1.07,0.49,15.09,Accessories,Online,Not Returned,Medium
887201,USB Cable,46,2020-01-01 19:00,27.03,0.26,23.8,Furniture,In-store,Returned,Medium
421879,Wall Clock,43,2020-01-01 20:00,77.17,0.3,24.77,Accessories,In-store,Returned,Low
818315,Notebook,14,2020-01-01 21:00,66.89,0.42,15.05,Furniture,Online,Not Returned,High
427069,Wireless Mouse,39,2020-01-01 22:00,66.18,0.07,27.02,Accessories,Online,Not Returned,High
876997,T-shirt,24,2020-01-01 23:00,70.01,0.12,13.16,Stationery,Online,Not Returned,Low
299041,T-shirt,48,2020-01-02 00:00,27.87,0.24,19.61,Electronics,Online,Not Returned,Low
891743,Blue Pen,30,2020-01-02 01:00,59.53,0.25,23.67,Stationery,Online,Not Returned,Low
203355,USB Cable,33,2020-01-02 02:00,97.96,0.23,7.25,Stationery,Online,Not Returned,High
335796,Wall Clock,22,2020-01-02 03:00,28.73,0.25,8.44,Apparel,Online,Not Returned,Medium
314176,Office Chair,10,2020-01-02 04:00,86.71,0.36,16.86,Furniture,Online,Not Returned,Low
284779,USB Cable,11,2020-01-02 05:00,90.69,0.39,25.31,Furniture,Online,Not Returned,Medium
447449,White Mug,15,2020-01-02 06:00,40.36,0.03,6.14,Stationery,In-store,Not Returned,High
521909,White Mug,48,2020-01-02 07:00,8.39,0.08,15.29,Electronics,In-store,Not Returned,Medium
358795,Headphones,30,2020-01-02 08:00,99.31,0.31,22.31,Accessories,Online,Not Returned,Medium
586232,Wall Clock,14,2020-01-02 09:00,10.32,0.01,28.9,Stationery,In-store,Returned,Low
600186,Headphones,32,2020-01-02 10:00,82.94,0.15,28.6,Electronics,Online,Not Returned,High
256730,T-shirt,26,2020-01-02 11:00,35.39,0.02,21.07,Stationery,In-store,Not Returned,Medium
970910,Backpack,21,2020-01-02 12:00,61.34,0.24,9.39,Furniture,In-store,Not Returned,Low
484681,Desk Lamp,5,2020-01-02 13:00,30.77,0.31,15.27,Stationery,In-store,Not Returned,Low
249503,Wireless Mouse,47,2020-01-02 14:00,38.11,0.27,25.15,Stationery,In-store,Not Returned,Medium
754811,T-shirt,12,2020-01-02 15:00,29.06,0.15,12.84,Stationery,Online,Not Returned,Low
627035,Notebook,29,2020-01-02 16:00,21.32,0.16,10.88,Furniture,In-store,Not Returned,Low
748143,Blue Pen,21,2020-01-02 17:00,36.85,0.15,28.34,Electronics,In-store,Not Returned,Low
552366,Backpack,25,2020-01-02 18:00,86.68,0.02,23.35,Accessories,In-store,Not Returned,Medium
165725,USB Cable,16,2020-01-02 19:00,9.08,0.04,18.69,Apparel,In-store,Not Returned,Low
229981,Desk Lamp,31,2020-01-02 20:00,2.1,0.29,16.04,Furniture,Online,Not Returned,Low
184654,Wall Clock,20,2020-01-02 21:00,24.36,0.07,18.99,Apparel,In-store,Not Returned,High
691723,Wireless Mouse,31,2020-01-02 22:00,84.83,0.12,23.25,Stationery,In-store,Not Returned,High
419030,Wireless Mouse,11,2020-01-02 23:00,93.1,0.38,8.78,Electronics,Online,Not Returned,Low
428947,T-shirt,32,2020-01-03 00:00,81.47,0.0,9.14,Electronics,Online,Not Returned,High
655839,Office Chair,48,2020-01-03 01:00,4.74,0.22,23.11,Accessories,Online,Not Returned,High
373538,Headphones,8,2020-01-03 02:00,20.35,0.1,20.37,Stationery,In-store,Not Returned,Low
431236,Wall Clock,23,2020-01-03 03:00,33.63,0.33,6.6,Apparel,Online,Not Returned,Medium
628178,Backpack,8,2020-01-03 04:00,68.66,0.13,26.31,Stationery,In-store,Not Returned,Low
665894,Headphones,2,2020-01-03 05:00,33.4,0.16,18.88,Apparel,Online,Not Returned,Low
589492,T-shirt,27,2020-01-03 06:00,49.95,0.3,10.36,Stationery,In-store,Not Returned,Medium
356840,Office Chair,36,2020-01-03 07:00,5.04,0.15,27.63,Apparel,In-store,Returned,Low
573254,Blue Pen,35,2020-01-03 08:00,4.66,0.27,19.65,Furniture,In-store,Not Returned,Low
449457,Desk Lamp,23,2020-01-03 09:00,73.48,0.37,29.57,Stationery,Online,Not Returned,High
765987,Blue Pen,41,2020-01-03 10:00,11.4,0.08,12.87,Accessories,Online,Not Returned,High
370936,Backpack,48,2020-01-03 11:00,28.29,0.33,16.89,Apparel,Online,Not Returned,High
339931,Office Chair,13,2020-01-03 12:00,1.47,0.32,8.53,Stationery,Online,Not Returned,Low
339629,Notebook,31,2020-01-03 13:00,55.33,0.05,25.13,Furniture,Online,Not Returned,Low
305041,Desk Lamp,45,2020-01-03 14:00,54.79,0.23,8.97,Accessories,In-store,Not Returned,Medium
798361,Office Chair,30,2020-01-03 15:00,45.18,0.32,13.75,Furniture,Online,Not Returned,Medium
831912,Wireless Mouse,6,2020-01-03 16:00,78.9,0.1,12.89,Accessories,Online,Not Returned,High
517113,Notebook,20,2020-01-03 17:00,39.0,0.09,21.67,Electronics,Online,Not Returned,Medium
