invoiceno,description,quantity,invoicedate,unitprice,discount,shippingcost,category,saleschannel,returnstatus,orderpriority,total_revenue,grade
231932,Headphones,49,2020-01-01 02:00,29.11,0.35,23.03,Electronics,Online,Returned,High,1426.3899999999999,VIP
465838,Desk Lamp,14,2020-01-01 03:00,76.68,0.14,11.08,Accessories,Online,Not Returned,Low,1073.52,VIP
359178,USB Cable,-30,2020-01-01 04:00,-68.11,1.501433043360303,,Electronics,In-store,Not Returned,Medium,2043.3,VIP
744167,Office Chair,47,2020-01-01 05:00,70.16,0.48,13.98,Electronics,Online,Not Returned,Medium,3297.52,VIP
210268,USB Cable,25,2020-01-01 06:00,85.74,0.15,12.92,Stationery,Online,Not Returned,High,2143.5,VIP
154886,Wireless Mouse,19,2020-01-01 08:00,98.19,0.05,12.56,Apparel,Online,Not Returned,High,1865.61,VIP
237337,Headphones,40,2020-01-01 09:00,98.17,0.16,7.71,Apparel,Online,Not Returned,Low,3926.8,VIP
621430,Notebook,49,2020-01-01 10:00,87.56,0.19,9.83,Stationery,In-store,Returned,Medium,4290.4400000000005,VIP
187498,Office Chair,41,2020-01-01 11:00,59.51,0.39,12.0,Furniture,In-store,Not Returned,Low,2439.91,VIP
999159,Blue Pen,41,2020-01-01 12:00,25.59,0.01,15.58,Electronics,In-store,Not Returned,Medium,1049.19,VIP
291335,Wall Clock,29,2020-01-01 14:00,35.88,0.06,14.85,Electronics,Online,Not Returned,High,1040.52,VIP
378167,T-shirt,16,2020-01-01 15:00,82.58,0.41,27.02,Furniture,In-store,Not Returned,High,1321.28,VIP
887201,USB Cable,46,2020-01-01 19:00,27.03,0.26,23.8,Furniture,In-store,Returned,Medium,1243.38,VIP
421879,Wall Clock,43,2020-01-01 20:00,77.17,0.3,24.77,Accessories,In-store,Returned,Low,3318.31,VIP
427069,Wireless Mouse,39,2020-01-01 22:00,66.18,0.07,27.02,Accessories,Online,Not Returned,High,2581.0200000000004,VIP
876997,T-shirt,24,2020-01-01 23:00,70.01,0.12,13.16,Stationery,Online,Not Returned,Low,1680.2400000000002,VIP
299041,T-shirt,48,2020-01-02 00:00,27.87,0.24,19.61,Electronics,Online,Not Returned,Low,1337.76,VIP
891743,Blue Pen,30,2020-01-02 01:00,59.53,0.25,23.67,Stationery,Online,Not Returned,Low,1785.9,VIP
203355,USB Cable,33,2020-01-02 02:00,97.96,0.23,7.25,Stationery,Online,Not Returned,High,3232.68,VIP
358795,Headphones,30,2020-01-02 08:00,99.31,0.31,22.31,Accessories,Online,Not Returned,Medium,2979.3,VIP
600186,Headphones,32,2020-01-02 10:00,82.94,0.15,28.6,Electronics,Online,Not Returned,High,2654.08,VIP
970910,Backpack,21,2020-01-02 12:00,61.34,0.24,9.39,Furniture,In-store,Not Returned,Low,1288.14,VIP
