invoiceno,description,quantity,invoicedate,unitprice,discount,shippingcost,category,saleschannel,returnstatus,orderpriority,total_revenue,grade
465838,Desk Lamp,14,2020-01-01 03:00,76.68,0.14,11.08,Accessories,Online,Not Returned,Low,1073.52,VIP
421879,Wall Clock,43,2020-01-01 20:00,77.17,0.3,24.77,Accessories,In-store,Returned,Low,3318.31,VIP
427069,Wireless Mouse,39,2020-01-01 22:00,66.18,0.07,27.02,Accessories,Online,Not Returned,High,2581.0200000000004,VIP
358795,Headphones,30,2020-01-02 08:00,99.31,0.31,22.31,Accessories,Online,Not Returned,Medium,2979.3,VIP
552366,Backpack,25,2020-01-02 18:00,86.68,0.02,23.35,Accessories,In-store,Not Returned,Medium,2167.0,VIP
305041,Desk Lamp,45,2020-01-03 14:00,54.79,0.23,8.97,Accessories,In-store,Not Returned,Medium,2465.55,VIP
351995,USB Cable,22,2020-01-03 21:00,94.81,0.43,25.61,Accessories,In-store,Not Returned,Medium,2085.82,VIP
560337,Blue Pen,39,2020-01-04 06:00,36.99,0.38,20.06,Accessories,In-store,Not Returned,Medium,1442.61,VIP
538974,Wireless Mouse,40,2020-01-04 16:00,91.57,0.35,29.97,Accessories,In-store,Not Returned,High,3662.8,VIP
635822,Office Chair,32,2020-01-04 22:00,41.15,0.4,7.7,Accessories,Online,Not Returned,High,1316.8,VIP
320884,Office Chair,42,2020-01-05 05:00,34.93,0.41,17.4,Accessories,Online,Not Returned,High,1467.06,VIP
633556,USB Cable,34,2020-01-05 10:00,85.06,0.01,29.98,Accessories,In-store,Not Returned,Medium,2892.04,VIP
476896,Blue Pen,24,2020-01-05 20:00,76.55,0.0,8.27,Accessories,Online,Not Returned,Medium,1837.2,VIP
314020,White Mug,42,2020-01-07 16:00,63.34,0.42,10.89,Accessories,Online,Not Returned,Medium,2660.28,VIP
869598,White Mug,42,2020-01-08 03:00,25.56,0.27,10.56,Accessories,In-store,Not Returned,Medium,1073.52,VIP
205878,Notebook,40,2020-01-08 13:00,71.99,0.2,8.09,Accessories,Online,Returned,Low,2879.6,VIP
125939,USB Cable,39,2020-01-09 09:00,61.55,0.27,26.19,Accessories,In-store,Not Returned,Low,2400.45,VIP
502690,Backpack,27,2020-01-10 02:00,69.79,0.31,22.87,Accessories,In-store,Not Returned,Medium,1884.33,VIP
760890,Desk Lamp,40,2020-01-10 06:00,60.98,0.33,22.52,Accessories,In-store,Not Returned,Medium,2439.2,VIP
265838,White Mug,31,2020-01-10 11:00,76.92,0.31,27.18,Accessories,Online,Not Returned,Medium,2384.52,VIP
193264,USB Cable,36,2020-01-11 07:00,80.56,0.13,19.72,Accessories,Online,Not Returned,High,2900.16,VIP
325281,USB Cable,21,2020-01-11 10:00,77.91,0.34,18.12,Accessories,Online,Not Returned,Low,1636.11,VIP
277789,Blue Pen,24,2020-01-11 19:00,49.59,0.37,7.11,Accessories,Online,Not Returned,High,1190.16,VIP
722794,Wireless Mouse,30,2020-01-12 06:00,60.15,0.36,15.3,Accessories,In-store,Not Returned,Medium,1804.5,VIP
233883,T-shirt,41,2020-01-13 02:00,70.95,0.35,19.59,Accessories,In-store,Not Returned,Low,2908.9500000000003,VIP
908350,Wall Clock,22,2020-01-14 01:00,81.86,0.22,8.31,Accessories,Online,Not Returned,High,1800.92,VIP
247443,Wireless Mouse,37,2020-01-14 09:00,57.41,0.1,13.55,Accessories,In-store,Not Returned,Medium,2124.17,VIP
802335,Desk Lamp,18,2020-01-15 21:00,81.72,0.02,18.38,Accessories,Online,Returned,Medium,1470.96,VIP
554351,Desk Lamp,30,2020-01-16 03:00,39.67,0.42,25.2,Accessories,Online,Not Returned,Low,1190.1,VIP
977844,Wireless Mouse,43,2020-01-16 10:00,33.67,0.37,5.69,Accessories,Online,Not Returned,Medium,1447.8100000000002,VIP
580047,Headphones,38,2020-01-16 11:00,26.46,0.19,27.54,Accessories,Online,Not Returned,Medium,1005.48,VIP
787995,USB Cable,-32,2020-01-18 08:00,-98.61,1.5807770446256528,,Accessories,Online,Not Returned,High,3155.52,VIP
889852,Wall Clock,41,2020-01-18 12:00,36.66,0.0,15.4,Accessories,Online,Not Returned,Medium,1503.06,VIP
866577,Office Chair,48,2020-01-19 10:00,87.15,0.4,16.42,Accessories,In-store,Not Returned,Medium,4183.200000000001,VIP
118070,Wall Clock,33,2020-01-19 14:00,71.8,0.04,27.06,Accessories,Online,Not Returned,Low,2369.4,VIP
833429,Backpack,49,2020-01-20 01:00,91.7,0.34,17.63,Accessories,Online,Not Returned,High,4493.3,VIP
348710,Wall Clock,30,2020-01-20 15:00,60.56,0.39,27.65,Accessories,In-store,Not Returned,Medium,1816.8,VIP
368799,Backpack,33,2020-01-20 22:00,77.92,0.11,24.4,Accessories,In-store,Returned,Low,2571.36,VIP
224046,Wireless Mouse,-41,2020-01-21 04:00,-97.18,0.18,,Accessories,In-store,Not Returned,Medium,3984.38,VIP
193848,Wireless Mouse,36,2020-01-21 11:00,88.77,0.09,29.01,Accessories,In-store,Not Returned,Medium,3195.72,VIP
311810,T-shirt,17,2020-01-22 11:00,96.01,0.21,12.52,Accessories,In-store,Returned,High,1632.17,VIP
200235,Office Chair,23,2020-01-23 11:00,88.75,0.2,9.56,Accessories,Online,Not Returned,Medium,2041.25,VIP
546438,T-shirt,45,2020-01-24 03:00,39.45,0.17,25.91,Accessories,In-store,Not Returned,Medium,1775.2500000000002,VIP
955474,T-shirt,33,2020-01-24 14:00,39.0,0.4,26.84,Accessories,In-store,Not Returned,Low,1287.0,VIP
178781,Backpack,19,2020-01-25 00:00,69.98,0.47,6.01,Accessories,Online,Not Returned,Low,1329.62,VIP
876665,Notebook,12,2020-01-25 06:00,85.34,0.41,5.96,Accessories,In-store,Not Returned,Low,1024.08,VIP
460260,Office Chair,42,2020-01-25 19:00,56.68,0.46,18.36,Accessories,Online,Not Returned,High,2380.56,VIP
820777,USB Cable,27,2020-01-26 00:00,85.65,0.39,14.34,Accessories,In-store,Not Returned,High,2312.55,VIP
647577,Headphones,18,2020-01-26 01:00,58.93,0.16,5.01,Accessories,In-store,Not Returned,Low,1060.74,VIP
404119,Office Chair,40,2020-01-26 06:00,60.62,0.38,22.18,Accessories,Online,Not Returned,Medium,2424.8,VIP
149115,Wireless Mouse,47,2020-01-26 16:00,93.36,0.25,5.29,Accessories,In-store,Not Returned,Low,4387.92,VIP
843583,USB Cable,45,2020-01-26 18:00,99.88,0.07,8.51,Accessories,In-store,Not Returned,Medium,4494.599999999999,VIP
825948,Backpack,37,2020-01-27 02:00,31.69,0.16,12.58,Accessories,Online,Not Returned,Low,1172.53,VIP
591072,Desk Lamp,49,2020-01-27 08:00,90.35,0.18,8.42,Accessories,Online,Not Returned,High,4427.15,VIP
767521,USB Cable,45,2020-01-27 17:00,95.07,0.19,21.34,Accessories,In-store,Not Returned,Low,4278.15,VIP
930857,Desk Lamp,19,2020-01-28 23:00,72.78,0.01,8.31,Accessories,In-store,Returned,Medium,1382.82,VIP
286141,Wall Clock,42,2020-01-29 23:00,69.0,0.49,25.91,Accessories,Online,Not Returned,Low,2898.0,VIP
998320,Desk Lamp,21,2020-01-30 00:00,58.77,0.34,11.26,Accessories,In-store,Not Returned,Medium,1234.17,VIP
734736,Blue Pen,30,2020-01-30 01:00,60.31,0.25,10.5,Accessories,In-store,Not Returned,High,1809.3,VIP
509995,Desk Lamp,22,2020-01-30 09:00,95.65,0.29,17.16,Accessories,In-store,Not Returned,Medium,2104.3,VIP
525523,Wireless Mouse,40,2020-01-30 17:00,62.82,0.26,17.74,Accessories,In-store,Not Returned,Low,2512.8,VIP
422710,Backpack,37,2020-01-31 06:00,79.51,0.38,16.54,Accessories,Online,Not Returned,Medium,2941.8700000000003,VIP
254697,T-shirt,36,2020-02-01 02:00,34.73,0.15,20.74,Accessories,In-store,Not Returned,Low,1250.28,VIP
535564,T-shirt,48,2020-02-02 01:00,64.05,0.3,29.16,Accessories,Online,Not Returned,High,3074.4,VIP
303196,Office Chair,13,2020-02-02 12:00,80.72,0.24,9.27,Accessories,In-store,Not Returned,Low,1049.36,VIP
849074,Backpack,23,2020-02-02 19:00,69.14,0.47,28.18,Accessories,In-store,Not Returned,Low,1590.22,VIP
938656,Wireless Mouse,49,2020-02-03 12:00,87.01,0.4,12.15,Accessories,In-store,Returned,Low,4263.490000000001,VIP
428184,White Mug,46,2020-02-03 17:00,98.29,0.06,22.29,Accessories,In-store,Returned,Medium,4521.34,VIP
715650,Notebook,28,2020-02-04 18:00,56.76,0.31,6.5,Accessories,In-store,Returned,Low,1589.28,VIP
152528,Desk Lamp,41,2020-02-05 00:00,76.9,0.06,24.12,Accessories,In-store,Not Returned,High,3152.9,VIP
734421,Notebook,39,2020-02-05 05:00,42.31,0.36,21.16,Accessories,Online,Not Returned,Medium,1650.09,VIP
965291,Office Chair,27,2020-02-05 11:00,92.43,0.4,15.65,Accessories,In-store,Not Returned,High,2495.61,VIP
386103,White Mug,41,2020-02-05 16:00,36.97,0.11,12.85,Accessories,In-store,Not Returned,Medium,1515.77,VIP
260775,T-shirt,45,2020-02-05 18:00,88.55,0.16,10.11,Accessories,Online,Not Returned,Low,3984.75,VIP
614723,Headphones,36,2020-02-05 21:00,52.58,0.36,13.7,Accessories,Online,Not Returned,Medium,1892.88,VIP
446809,USB Cable,23,2020-02-06 00:00,80.33,0.46,14.48,Accessories,Online,Not Returned,Low,1847.59,VIP
520571,USB Cable,26,2020-02-06 04:00,39.25,0.29,13.68,Accessories,Online,Returned,High,1020.5,VIP
483934,Wall Clock,40,2020-02-06 10:00,30.53,0.0,21.78,Accessories,Online,Returned,Low,1221.2,VIP
229473,Wall Clock,36,2020-02-07 04:00,43.7,0.2,8.14,Accessories,In-store,Not Returned,Low,1573.2,VIP
212816,Desk Lamp,18,2020-02-07 16:00,84.2,0.15,17.43,Accessories,Online,Not Returned,Low,1515.6,VIP
686580,Headphones,46,2020-02-07 18:00,32.41,0.12,20.39,Accessories,Online,Not Returned,High,1490.86,VIP
932972,Wall Clock,37,2020-02-08 01:00,91.9,0.37,14.25,Accessories,In-store,Not Returned,Low,3400.3,VIP
263273,White Mug,38,2020-02-08 22:00,63.8,0.25,16.93,Accessories,In-store,Not Returned,Low,2424.4,VIP
910717,Desk Lamp,33,2020-02-10 05:00,68.92,0.4,5.02,Accessories,Online,Returned,Low,2274.36,VIP
581680,Blue Pen,16,2020-02-10 08:00,96.46,0.04,6.77,Accessories,In-store,Not Returned,Medium,1543.36,VIP
144238,Office Chair,24,2020-02-10 11:00,98.49,0.15,13.76,Accessories,Online,Not Returned,Low,2363.76,VIP
415557,Wall Clock,33,2020-02-11 08:00,31.43,0.41,14.87,Accessories,In-store,Not Returned,Medium,1037.19,VIP
610736,Wireless Mouse,43,2020-02-12 00:00,35.14,0.11,11.4,Accessories,In-store,Not Returned,Low,1511.02,VIP
145002,Blue Pen,47,2020-02-12 14:00,23.62,0.25,27.83,Accessories,In-store,Not Returned,Low,1110.14,VIP
249849,Notebook,49,2020-02-14 00:00,36.49,0.33,19.47,Accessories,Online,Not Returned,Medium,1788.01,VIP
151745,White Mug,25,2020-02-14 02:00,95.9,0.18,28.97,Accessories,In-store,Not Returned,Low,2397.5,VIP
909006,Headphones,31,2020-02-14 10:00,94.23,0.27,7.36,Accessories,In-store,Not Returned,Medium,2921.13,VIP
290471,Wireless Mouse,33,2020-02-14 20:00,70.2,0.35,22.02,Accessories,In-store,Not Returned,Medium,2316.6,VIP
173686,Desk Lamp,24,2020-02-15 06:00,52.87,0.01,18.98,Accessories,Online,Not Returned,Medium,1268.88,VIP
345121,USB Cable,45,2020-02-15 09:00,47.35,0.27,23.0,Accessories,In-store,Returned,Medium,2130.75,VIP
904462,Wall Clock,33,2020-02-15 16:00,73.38,0.24,12.47,Accessories,Online,Not Returned,High,2421.54,VIP
713157,Wall Clock,38,2020-02-16 00:00,36.51,0.35,6.53,Accessories,Online,Not Returned,High,1387.38,VIP
729474,USB Cable,40,2020-02-16 01:00,99.68,0.04,26.67,Accessories,Online,Not Returned,High,3987.2,VIP
749324,White Mug,43,2020-02-17 03:00,77.31,0.28,16.94,Accessories,Online,Not Returned,Low,3324.33,VIP
637198,Wireless Mouse,38,2020-02-17 08:00,37.63,0.13,19.18,Accessories,Online,Not Returned,Medium,1429.94,VIP
172303,White Mug,26,2020-02-18 06:00,51.4,0.14,10.37,Accessories,In-store,Not Returned,Medium,1336.4,VIP
623138,Backpack,11,2020-02-18 15:00,93.25,0.38,14.91,Accessories,In-store,Not Returned,Low,1025.75,VIP
962755,Wall Clock,41,2020-02-18 19:00,51.48,0.1,6.25,Accessories,In-store,Not Returned,High,2110.68,VIP
625134,Desk Lamp,25,2020-02-19 10:00,83.66,0.47,21.49,Accessories,Online,Not Returned,High,2091.5,VIP
866641,White Mug,18,2020-02-20 17:00,57.63,0.1,5.41,Accessories,In-store,Not Returned,Low,1037.34,VIP
756702,Wall Clock,48,2020-02-21 04:00,43.63,0.26,7.41,Accessories,In-store,Not Returned,High,2094.24,VIP
722117,Office Chair,26,2020-02-21 10:00,64.47,0.35,18.56,Accessories,In-store,Not Returned,Medium,1676.22,VIP
707812,Headphones,33,2020-02-21 14:00,67.58,0.39,25.77,Accessories,Online,Not Returned,High,2230.14,VIP
405073,T-shirt,19,2020-02-21 18:00,99.6,0.07,21.39,Accessories,Online,Not Returned,Medium,1892.4,VIP
973172,Headphones,37,2020-02-22 16:00,47.16,0.17,23.91,Accessories,In-store,Not Returned,High,1744.9199999999998,VIP
