invoiceno,description,quantity,invoicedate,unitprice,discount,shippingcost,category,saleschannel,returnstatus,orderpriority,total_revenue,grade
154886,Wireless Mouse,19,2020-01-01 08:00,98.19,0.05,12.56,Apparel,Online,Not Returned,High,1865.61,VIP
237337,Headphones,40,2020-01-01 09:00,98.17,0.16,7.71,Apparel,Online,Not Returned,Low,3926.8,VIP
370936,Backpack,48,2020-01-03 11:00,28.29,0.33,16.89,Apparel,Online,Not Returned,High,1357.92,VIP
877089,Office Chair,36,2020-01-03 19:00,34.13,0.32,20.69,Apparel,Online,Not Returned,Medium,1228.68,VIP
587879,Wall Clock,39,2020-01-04 23:00,60.36,0.07,24.41,Apparel,In-store,Not Returned,High,2354.04,VIP
842139,Wireless Mouse,27,2020-01-05 14:00,65.17,0.12,28.59,Apparel,In-store,Returned,High,1759.59,VIP
220151,Wireless Mouse,37,2020-01-06 00:00,91.0,0.42,11.14,Apparel,In-store,Not Returned,High,3367.0,VIP
788519,Notebook,40,2020-01-06 08:00,94.43,0.29,10.59,Apparel,In-store,Not Returned,Low,3777.2,VIP
112666,T-shirt,12,2020-01-06 12:00,98.82,0.25,5.34,Apparel,In-store,Not Returned,High,1185.84,VIP
400804,Desk Lamp,40,2020-01-06 13:00,45.27,0.08,21.25,Apparel,In-store,Not Returned,Low,1810.8,VIP
210687,Office Chair,13,2020-01-08 09:00,89.57,0.47,8.81,Apparel,Online,Not Returned,High,1164.41,VIP
542296,Headphones,45,2020-01-09 03:00,56.42,0.42,25.27,Apparel,Online,Returned,Medium,2538.9,VIP
717075,White Mug,33,2020-01-09 23:00,45.68,0.48,13.9,Apparel,In-store,Not Returned,Medium,1507.44,VIP
599046,White Mug,30,2020-01-10 03:00,45.35,0.24,26.7,Apparel,In-store,Not Returned,Low,1360.5,VIP
121959,Office Chair,40,2020-01-10 05:00,68.35,0.2,10.7,Apparel,In-store,Not Returned,Medium,2734.0,VIP
539792,Wall Clock,31,2020-01-10 19:00,72.68,0.47,25.65,Apparel,Online,Not Returned,High,2253.0800000000004,VIP
582690,Wireless Mouse,19,2020-01-11 02:00,96.33,0.14,26.75,Apparel,Online,Returned,High,1830.27,VIP
840976,T-shirt,15,2020-01-11 05:00,80.11,0.26,29.05,Apparel,In-store,Not Returned,Medium,1201.65,VIP
842452,Office Chair,29,2020-01-11 21:00,86.01,0.09,7.07,Apparel,Online,Not Returned,Medium,2494.29,VIP
225657,USB Cable,14,2020-01-11 23:00,74.32,0.38,28.76,Apparel,In-store,Not Returned,Medium,1040.48,VIP
