invoiceno,description,quantity,invoicedate,unitprice,discount,shippingcost,category,saleschannel,returnstatus,orderpriority,total_revenue,grade
210268,USB Cable,25,2020-01-01 06:00,85.74,0.15,12.92,Stationery,Online,Not Returned,High,2143.5,VIP
621430,Notebook,49,2020-01-01 10:00,87.56,0.19,9.83,Stationery,In-store,Returned,Medium,4290.4400000000005,VIP
876997,T-shirt,24,2020-01-01 23:00,70.01,0.12,13.16,Stationery,Online,Not Returned,Low,1680.2400000000002,VIP
891743,Blue Pen,30,2020-01-02 01:00,59.53,0.25,23.67,Stationery,Online,Not Returned,Low,1785.9,VIP
203355,USB Cable,33,2020-01-02 02:00,97.96,0.23,7.25,Stationery,Online,Not Returned,High,3232.68,VIP
249503,Wireless Mouse,47,2020-01-02 14:00,38.11,0.27,25.15,Stationery,In-store,Not Returned,Medium,1791.17,VIP
691723,Wireless Mouse,31,2020-01-02 22:00,84.83,0.12,23.25,Stationery,In-store,Not Returned,High,2629.73,VIP
589492,T-shirt,27,2020-01-03 06:00,49.95,0.3,10.36,Stationery,In-store,Not Returned,Medium,1348.65,VIP
449457,Desk Lamp,23,2020-01-03 09:00,73.48,0.37,29.57,Stationery,Online,Not Returned,High,1690.0400000000002,VIP
922352,White Mug,49,2020-01-04 05:00,49.41,0.38,8.8,Stationery,In-store,Not Returned,Low,2421.09,VIP
661353,White Mug,27,2020-01-04 19:00,68.95,0.45,18.1,Stationery,Online,Not Returned,Medium,1861.65,VIP
616588,USB Cable,20,2020-01-05 16:00,84.61,0.26,11.7,Stationery,In-store,Not Returned,High,1692.2,VIP
402918,Blue Pen,43,2020-01-05 22:00,30.59,0.2,10.32,Stationery,Online,Returned,High,1315.37,VIP
236330,Backpack,49,2020-01-06 05:00,66.8,0.36,11.84,Stationery,Online,Not Returned,High,3273.2,VIP
580754,Wall Clock,27,2020-01-06 06:00,83.54,0.33,9.51,Stationery,In-store,Not Returned,Medium,2255.5800000000004,VIP
807611,T-shirt,30,2020-01-06 18:00,39.72,0.08,14.4,Stationery,Online,Not Returned,High,1191.6,VIP
384806,Notebook,30,2020-01-06 19:00,69.96,0.27,18.7,Stationery,Online,Not Returned,High,2098.8,VIP
130535,White Mug,24,2020-01-06 21:00,78.64,0.06,8.97,Stationery,In-store,Not Returned,High,1887.36,VIP
701661,Desk Lamp,34,2020-01-07 02:00,59.68,0.34,15.93,Stationery,Online,Not Returned,Medium,2029.12,VIP
284064,Blue Pen,30,2020-01-07 15:00,38.2,0.42,19.99,Stationery,In-store,Not Returned,Low,1146.0,VIP
715270,T-shirt,33,2020-01-07 19:00,81.72,0.29,15.35,Stationery,In-store,Not Returned,Medium,2696.76,VIP
353618,Office Chair,39,2020-01-08 02:00,72.72,0.11,24.11,Stationery,In-store,Not Returned,Medium,2836.08,VIP
785440,Wireless Mouse,38,2020-01-09 19:00,68.71,0.28,23.26,Stationery,Online,Not Returned,High,2610.98,VIP
679304,T-shirt,38,2020-01-10 01:00,43.62,0.28,23.87,Stationery,Online,Not Returned,Low,1657.56,VIP
435674,USB Cable,26,2020-01-10 12:00,43.43,0.4,14.71,Stationery,In-store,Not Returned,High,1129.18,VIP
937437,T-shirt,29,2020-01-10 18:00,39.91,0.1,10.42,Stationery,In-store,Not Returned,Low,1157.39,VIP
283734,Notebook,40,2020-01-12 05:00,59.5,0.21,19.09,Stationery,In-store,Not Returned,Medium,2380.0,VIP
967055,Wall Clock,28,2020-01-12 17:00,58.6,0.21,12.7,Stationery,Online,Not Returned,Low,1640.8,VIP
212547,Wall Clock,-26,2020-01-13 04:00,-51.94,1.5234671839451164,,Stationery,In-store,Not Returned,High,1350.44,VIP
851102,USB Cable,34,2020-01-13 06:00,45.44,0.12,20.06,Stationery,Online,Not Returned,Low,1544.96,VIP
314835,Wireless Mouse,30,2020-01-13 10:00,53.55,0.25,19.88,Stationery,Online,Not Returned,Low,1606.5,VIP
474705,Backpack,48,2020-01-13 23:00,69.23,0.06,5.61,Stationery,Online,Not Returned,High,3323.04,VIP
671542,White Mug,24,2020-01-14 00:00,81.18,0.28,21.57,Stationery,In-store,Not Returned,Medium,1948.32,VIP
654594,Office Chair,49,2020-01-14 03:00,38.66,0.24,6.78,Stationery,Online,Not Returned,Medium,1894.34,VIP
132711,Notebook,31,2020-01-15 10:00,72.24,0.1,5.83,Stationery,Online,Not Returned,Low,2239.44,VIP
907789,Backpack,45,2020-01-15 22:00,33.12,0.38,23.83,Stationery,Online,Returned,High,1490.4,VIP
177505,Wall Clock,42,2020-01-16 00:00,85.33,0.45,11.36,Stationery,Online,Not Returned,High,3583.86,VIP
412252,Headphones,11,2020-01-16 04:00,98.0,0.5,28.98,Stationery,In-store,Not Returned,Medium,1078.0,VIP
190272,Wireless Mouse,18,2020-01-16 07:00,73.03,0.49,10.65,Stationery,Online,Not Returned,High,1314.54,VIP
710704,Blue Pen,37,2020-01-16 16:00,28.9,0.17,13.69,Stationery,In-store,Not Returned,Medium,1069.3,VIP
956703,Wireless Mouse,43,2020-01-16 17:00,99.98,0.08,25.28,Stationery,In-store,Returned,Medium,4299.14,VIP
671621,Wireless Mouse,48,2020-01-17 04:00,38.07,0.37,19.41,Stationery,In-store,Not Returned,Medium,1827.36,VIP
850020,White Mug,33,2020-01-17 16:00,48.31,0.46,17.82,Stationery,In-store,Not Returned,High,1594.23,VIP
231373,T-shirt,22,2020-01-18 14:00,63.28,0.23,23.39,Stationery,In-store,Not Returned,High,1392.16,VIP
165726,USB Cable,22,2020-01-18 19:00,50.02,0.37,7.45,Stationery,In-store,Not Returned,High,1100.44,VIP
840674,Backpack,32,2020-01-19 01:00,70.58,0.05,29.65,Stationery,In-store,Not Returned,High,2258.56,VIP
788105,Wall Clock,46,2020-01-19 05:00,46.85,0.22,24.77,Stationery,Online,Not Returned,Medium,2155.1,VIP
545101,Office Chair,48,2020-01-19 08:00,93.11,0.23,9.65,Stationery,In-store,Not Returned,Medium,4469.28,VIP
136631,Wall Clock,28,2020-01-19 09:00,69.36,0.48,27.99,Stationery,Online,Not Returned,High,1942.08,VIP
250262,White Mug,29,2020-01-20 06:00,65.67,0.33,24.03,Stationery,In-store,Not Returned,High,1904.43,VIP
337549,T-shirt,30,2020-01-20 23:00,43.82,0.31,28.81,Stationery,In-store,Not Returned,High,1314.6,VIP
476836,T-shirt,48,2020-01-22 05:00,46.02,0.14,11.94,Stationery,In-store,Not Returned,Low,2208.96,VIP
368093,Blue Pen,47,2020-01-23 07:00,90.09,0.29,20.15,Stationery,In-store,Not Returned,High,4234.2300000000005,VIP
738836,Office Chair,45,2020-01-23 23:00,76.42,0.14,5.3,Stationery,In-store,Not Returned,High,3438.9,VIP
799438,Wireless Mouse,32,2020-01-24 21:00,78.38,0.04,10.13,Stationery,Online,Not Returned,Medium,2508.16,VIP
555968,Backpack,44,2020-01-25 11:00,85.07,0.49,20.37,Stationery,In-store,Not Returned,High,3743.08,VIP
371967,Headphones,16,2020-01-26 04:00,83.99,0.17,5.69,Stationery,In-store,Not Returned,Medium,1343.84,VIP
640652,Desk Lamp,28,2020-01-26 08:00,77.63,0.12,13.38,Stationery,Online,Not Returned,Medium,2173.64,VIP
151991,White Mug,43,2020-01-26 11:00,59.2,0.1,19.23,Stationery,Online,Not Returned,Medium,2545.6,VIP
786337,T-shirt,19,2020-01-26 14:00,69.63,0.25,24.74,Stationery,In-store,Returned,Medium,1322.9699999999998,VIP
718992,Blue Pen,30,2020-01-26 15:00,87.13,0.33,21.18,Stationery,In-store,Not Returned,Medium,2613.9,VIP
208940,Wall Clock,38,2020-01-27 14:00,36.84,0.28,13.97,Stationery,In-store,Returned,Medium,1399.92,VIP
717296,Backpack,38,2020-01-27 23:00,54.12,0.46,21.1,Stationery,Online,Not Returned,Low,2056.56,VIP
600328,Backpack,35,2020-01-28 08:00,64.03,0.5,11.55,Stationery,In-store,Not Returned,High,2241.05,VIP
179459,Blue Pen,27,2020-01-30 08:00,86.21,0.33,16.44,Stationery,Online,Not Returned,Medium,2327.67,VIP
554137,White Mug,16,2020-01-30 19:00,63.5,0.24,11.07,Stationery,In-store,Not Returned,High,1016.0,VIP
189780,Blue Pen,24,2020-01-31 11:00,82.61,0.4,7.68,Stationery,Online,Returned,High,1982.64,VIP
189930,Wall Clock,42,2020-01-31 21:00,80.82,0.46,6.84,Stationery,Online,Not Returned,Medium,3394.44,VIP
625830,White Mug,25,2020-02-01 08:00,92.79,0.46,8.83,Stationery,Online,Not Returned,Low,2319.75,VIP
338067,Headphones,31,2020-02-02 03:00,89.53,0.15,28.18,Stationery,Online,Not Returned,High,2775.43,VIP
