invoiceno,description,quantity,invoicedate,unitprice,discount,shippingcost,category,saleschannel,returnstatus,orderpriority,total_revenue,grade
231932,Headphones,49,2020-01-01 02:00,29.11,0.35,23.03,Electronics,Online,Returned,High,1426.39,VIP
359178,USB Cable,-30,2020-01-01 04:00,-68.11,1.501433043360303,,Electronics,In-store,Not Returned,Medium,2043.3,VIP
744167,Office Chair,47,2020-01-01 05:00,70.16,0.48,13.98,Electronics,Online,Not Returned,Medium,3297.52,VIP
999159,Blue Pen,41,2020-01-01 12:00,25.59,0.01,15.58,Electronics,In-store,Not Returned,Medium,1049.19,VIP
291335,Wall Clock,29,2020-01-01 14:00,35.88,0.06,14.85,Electronics,Online,Not Returned,High,1040.52,VIP
299041,T-shirt,48,2020-01-02 00:00,27.87,0.24,19.61,Electronics,Online,Not Returned,Low,1337.76,VIP
600186,Headphones,32,2020-01-02 10:00,82.94,0.15,28.6,Electronics,Online,Not Returned,High,2654.08,VIP
419030,Wireless Mouse,11,2020-01-02 23:00,93.1,0.38,8.78,Electronics,Online,Not Returned,Low,1024.1,VIP
428947,T-shirt,32,2020-01-03 00:00,81.47,0.0,9.14,Electronics,Online,Not Returned,High,2607.04,VIP
371836,T-shirt,30,2020-01-04 15:00,83.42,0.45,5.92,Electronics,Online,Not Returned,Low,2502.6,VIP
374329,Blue Pen,23,2020-01-05 12:00,49.73,0.31,26.62,Electronics,Online,Not Returned,High,1143.79,VIP
229312,Headphones,43,2020-01-06 11:00,87.12,0.45,18.17,Electronics,In-store,Not Returned,Low,3746.16,VIP
950937,Wall Clock,26,2020-01-06 16:00,44.69,0.46,21.57,Electronics,In-store,Not Returned,Low,1161.94,VIP
747972,Desk Lamp,-26,2020-01-07 03:00,-72.33,1.97208653797146,,Electronics,In-store,Not Returned,Low,1880.58,VIP
301664,White Mug,46,2020-01-07 09:00,76.94,0.04,25.4,Electronics,In-store,Not Returned,Medium,3539.24,VIP
258338,Blue Pen,14,2020-01-07 14:00,85.66,0.02,7.49,Electronics,Online,Not Returned,Medium,1199.24,VIP
318126,Headphones,48,2020-01-07 22:00,49.42,0.15,14.8,Electronics,In-store,Not Returned,High,2372.16,VIP
974371,Backpack,31,2020-01-08 10:00,74.85,0.01,9.29,Electronics,Online,Not Returned,Medium,2320.35,VIP
961882,Wall Clock,25,2020-01-08 20:00,49.1,0.46,25.2,Electronics,In-store,Not Returned,Low,1227.5,VIP
979858,White Mug,39,2020-01-08 21:00,96.14,0.1,25.18,Electronics,Online,Not Returned,Low,3749.46,VIP
143585,Wall Clock,48,2020-01-09 00:00,37.1,0.16,28.1,Electronics,In-store,Not Returned,Medium,1780.8000000000002,VIP
471369,White Mug,23,2020-01-09 01:00,61.35,0.22,28.16,Electronics,Online,Not Returned,High,1411.05,VIP
642335,Notebook,27,2020-01-09 11:00,92.74,0.45,26.28,Electronics,In-store,Not Returned,Medium,2503.98,VIP
175766,T-shirt,48,2020-01-09 13:00,49.92,0.15,5.24,Electronics,In-store,Returned,Low,2396.16,VIP
910208,USB Cable,49,2020-01-09 18:00,73.62,0.45,29.87,Electronics,Online,Not Returned,High,3607.38,VIP
890180,USB Cable,47,2020-01-10 08:00,24.55,0.35,9.58,Electronics,In-store,Returned,High,1153.85,VIP
516880,Wireless Mouse,29,2020-01-11 03:00,93.34,0.1,27.69,Electronics,In-store,Not Returned,High,2706.86,VIP
998613,Office Chair,28,2020-01-11 12:00,76.03,0.13,14.05,Electronics,In-store,Not Returned,Medium,2128.84,VIP
937291,Wall Clock,-16,2020-01-11 22:00,-73.6,1.535439956251199,,Electronics,Online,Not Returned,Medium,1177.6,VIP
566872,Office Chair,20,2020-01-13 21:00,99.49,0.43,26.86,Electronics,In-store,Not Returned,Medium,1989.8,VIP
745263,Backpack,42,2020-01-14 06:00,62.97,0.07,18.43,Electronics,Online,Not Returned,Medium,2644.74,VIP
786976,White Mug,35,2020-01-14 13:00,53.85,0.29,10.35,Electronics,Online,Not Returned,High,1884.75,VIP
369544,White Mug,48,2020-01-14 21:00,35.38,0.06,27.56,Electronics,Online,Returned,High,1698.2400000000002,VIP
628787,Office Chair,26,2020-01-15 02:00,99.22,0.19,14.37,Electronics,Online,Not Returned,Low,2579.72,VIP
803714,Backpack,19,2020-01-15 15:00,54.66,0.47,21.01,Electronics,Online,Not Returned,Low,1038.54,VIP
102869,Backpack,32,2020-01-16 01:00,65.78,0.04,28.56,Electronics,In-store,Not Returned,Medium,2104.96,VIP
736584,T-shirt,42,2020-01-16 05:00,95.54,0.46,28.49,Electronics,In-store,Not Returned,High,4012.68,VIP
718467,Notebook,19,2020-01-16 06:00,57.43,0.43,10.65,Electronics,Online,Not Returned,Medium,1091.17,VIP
207450,Wireless Mouse,42,2020-01-16 21:00,33.58,0.49,27.09,Electronics,Online,Not Returned,High,1410.36,VIP
829650,Blue Pen,23,2020-01-17 06:00,48.11,0.36,13.09,Electronics,In-store,Not Returned,Low,1106.53,VIP
499111,Wireless Mouse,49,2020-01-17 08:00,73.46,0.27,26.14,Electronics,In-store,Not Returned,Medium,3599.5399999999995,VIP
182989,Wall Clock,26,2020-01-18 04:00,70.16,0.29,16.03,Electronics,Online,Not Returned,Medium,1824.16,VIP
398356,Blue Pen,19,2020-01-18 05:00,57.33,0.17,14.33,Electronics,Online,Not Returned,Low,1089.27,VIP
425352,Backpack,47,2020-01-18 09:00,99.29,0.01,29.26,Electronics,In-store,Not Returned,Low,4666.63,VIP
983184,Headphones,45,2020-01-18 13:00,63.79,0.15,24.98,Electronics,Online,Not Returned,Medium,2870.55,VIP
538452,Headphones,37,2020-01-18 15:00,86.73,0.34,20.53,Electronics,Online,Not Returned,Medium,3209.01,VIP
215294,White Mug,27,2020-01-18 16:00,54.06,0.23,13.61,Electronics,Online,Not Returned,Medium,1459.62,VIP
373237,Wall Clock,35,2020-01-19 13:00,83.56,0.09,13.83,Electronics,Online,Not Returned,Low,2924.6,VIP
730152,Office Chair,36,2020-01-19 23:00,41.73,0.46,8.52,Electronics,Online,Not Returned,High,1502.28,VIP
