invoiceno,description,quantity,invoicedate,unitprice,discount,shippingcost,category,saleschannel,returnstatus,orderpriority,total_revenue,grade
187498,Office Chair,41,2020-01-01 11:00,59.51,0.39,12.0,Furniture,In-store,Not Returned,Low,2439.91,VIP
378167,T-shirt,16,2020-01-01 15:00,82.58,0.41,27.02,Furniture,In-store,Not Returned,High,1321.28,VIP
887201,USB Cable,46,2020-01-01 19:00,27.03,0.26,23.8,Furniture,In-store,Returned,Medium,1243.38,VIP
970910,Backpack,21,2020-01-02 12:00,61.34,0.24,9.39,Furniture,In-store,Not Returned,Low,1288.14,VIP
339629,Notebook,31,2020-01-03 13:00,55.33,0.05,25.13,Furniture,Online,Not Returned,Low,1715.23,VIP
798361,Office Chair,30,2020-01-03 15:00,45.18,0.32,13.75,Furniture,Online,Not Returned,Medium,1355.4,VIP
748531,USB Cable,19,2020-01-03 20:00,69.38,0.33,27.74,Furniture,Online,Not Returned,Medium,1318.2199999999998,VIP
905889,Backpack,35,2020-01-04 08:00,30.82,0.03,8.87,Furniture,Online,Returned,Low,1078.7,VIP
559773,Wireless Mouse,38,2020-01-04 09:00,81.28,0.18,27.77,Furniture,In-store,Not Returned,High,3088.64,VIP
882038,White Mug,34,2020-01-05 01:00,88.14,0.07,12.45,Furniture,Online,Not Returned,High,2996.76,VIP
567281,T-shirt,43,2020-01-05 08:00,57.77,0.1,11.1,Furniture,Online,Not Returned,Low,2484.11,VIP
401648,Headphones,17,2020-01-06 07:00,73.34,0.23,9.78,Furniture,In-store,Not Returned,Medium,1246.78,VIP
124538,T-shirt,40,2020-01-07 07:00,33.55,0.28,10.63,Furniture,In-store,Not Returned,Low,1342.0,VIP
572525,Wall Clock,21,2020-01-07 13:00,49.16,0.36,25.76,Furniture,In-store,Not Returned,Low,1032.36,VIP
723094,Blue Pen,46,2020-01-07 17:00,23.1,0.0,27.63,Furniture,In-store,Not Returned,Low,1062.6,VIP
997421,Notebook,17,2020-01-07 18:00,90.61,0.18,14.91,Furniture,Online,Not Returned,High,1540.37,VIP
835716,Desk Lamp,16,2020-01-08 12:00,91.5,0.33,10.81,Furniture,In-store,Not Returned,Low,1464.0,VIP
508923,White Mug,48,2020-01-09 14:00,33.36,0.41,24.94,Furniture,In-store,Not Returned,Low,1601.28,VIP
979989,Wireless Mouse,22,2020-01-10 13:00,87.31,0.19,14.6,Furniture,Online,Not Returned,Low,1920.82,VIP
693128,White Mug,20,2020-01-10 15:00,84.59,0.49,22.17,Furniture,Online,Not Returned,Low,1691.8000000000002,VIP
218451,Wall Clock,43,2020-01-10 16:00,88.21,0.19,15.59,Furniture,In-store,Not Returned,Low,3793.03,VIP
865313,T-shirt,28,2020-01-11 01:00,57.98,0.09,24.25,Furniture,Online,Not Returned,Low,1623.4399999999998,VIP
881239,Office Chair,40,2020-01-11 06:00,69.95,0.35,20.23,Furniture,Online,Not Returned,High,2798.0,VIP
737147,Office Chair,36,2020-01-11 11:00,28.07,0.45,8.76,Furniture,Online,Not Returned,Low,1010.52,VIP
494070,Office Chair,38,2020-01-11 13:00,75.52,0.29,25.86,Furniture,Online,Not Returned,Low,2869.76,VIP
