order_id,customer_id,order_date,order_amount,payment_method,category
O00001,C0029,2026-01-07,145000.0,CASH,fashion
O00002,C0036,2026-01-27,284000.0,CARD,living
O00003,C0009,2026-01-08,52000.0,CASH,fashion
O00004,C0130,2026-01-07,292000.0,CASH,living
O00005,C0057,2026-04-25,147000.0,CARD,electronics
O00006,C0109,2026-03-29,147000.0,CASH,fashion
O00007,C0087,2026-01-27,52000.0,TRANSFER,food
O00008,C0092,2026-03-30,140000.0,CARD,digital
O00009,C0138,2026-02-01,198000.0,CARD,beauty
O00010,C0093,2026-05-28,103000.0,CARD,book
O00011,C0059,2026-03-16,45000.0,CASH,food
O00012,C0098,2026-03-13,237000.0,POINT,electronics
O00013,C0095,2026-04-01,112000.0,POINT,food
O00014,C0044,2026-05-17,130000.0,CASH,digital
O00015,C0098,2026-03-11,290000.0,CASH,sports
O00016,C0015,2026-02-28,21000.0,POINT,living
O00017,C0069,2026-01-17,113000.0,MOBILE,sports
O00018,C0055,2026-05-08,207000.0,TRANSFER,electronics
O00019,C0068,2026-02-05,131000.0,MOBILE,beauty
O00020,C0150,2026-04-20,209000.0,POINT,fashion
O00021,C0036,2026-05-11,257000.0,CARD,book
O00022,C0029,2026-02-09,86000.0,TRANSFER,food
O00023,C0099,2026-04-08,244000.0,MOBILE,beauty
O00024,C0142,2026-01-03,63000.0,MOBILE,beauty
O00025,C0088,2026-01-29,155000.0,TRANSFER,electronics
O00026,C0117,2026-01-01,139000.0,MOBILE,electronics
O00027,C0130,2026-01-28,157000.0,MOBILE,fashion
O00028,C0040,2026-04-06,87000.0,MOBILE,book
O00029,C0083,2026-05-06,14000.0,CARD,sports
O00030,C0079,2026-03-03,34000.0,CASH,food
O00031,C0022,2026-05-05,40000.0,MOBILE,electronics
O00032,C0033,2026-05-02,286000.0,CASH,beauty
O00033,C0136,2026-04-19,113000.0,MOBILE,fashion
O00034,C0080,2026-04-13,196000.0,TRANSFER,digital
O00035,C0031,2026-03-05,120000.0,CARD,sports
O00036,C0006,2026-05-22,122000.0,MOBILE,fashion
O00037,C0002,2026-01-19,35000.0,CASH,food
O00038,C0009,2026-03-26,41000.0,MOBILE,fashion
O00039,C0072,2026-05-05,114000.0,MOBILE,electronics
O00040,C0147,2026-05-28,247000.0,CASH,digital
O00041,C0105,2026-02-18,53000.0,CARD,living
O00042,C0091,2026-04-19,215000.0,TRANSFER,book
O00043,C0026,2026-01-16,211000.0,POINT,food
O00044,C0064,2026-02-19,102000.0,MOBILE,digital
O00045,C0036,2026-04-19,98000.0,POINT,digital
O00046,C0064,2026-01-20,231000.0,MOBILE,food
O00047,C0013,2026-05-19,12000.0,CARD,fashion
O00048,C0043,2026-04-15,253000.0,TRANSFER,fashion
O00049,C0103,2026-01-16,89000.0,TRANSFER,book
O00050,C0100,2026-03-09,237000.0,POINT,living
O00051,C0143,2026-05-05,84000.0,CASH,beauty
O00052,C0056,2026-01-15,282000.0,CARD,sports
O00053,C0015,2026-01-13,249000.0,MOBILE,electronics
O00054,C0015,2026-05-11,46000.0,CASH,food
O00055,C0018,2026-03-02,211000.0,CARD,fashion
O00056,C0149,2026-01-11,46000.0,TRANSFER,sports
O00057,C0067,2026-02-22,165000.0,CASH,beauty
O00058,C0102,2026-02-03,158000.0,TRANSFER,sports
O00059,C0019,2026-01-03,239000.0,MOBILE,food
O00060,C0019,2026-05-18,114000.0,MOBILE,beauty
O00061,C0034,2026-03-31,40000.0,CASH,sports
