Name,Popularity
이상해씨,0.748621
이상해풀,0.135275
이상해꽃,0.656836
파이리,0.814239
리자드,0.648924
리자몽,0.920494
꼬부기,0.806755
어니부기,0.084932
거북왕,0.640977
캐터피,0.17111
단데기,0.084642
버터플,0.424957
뿔충이,0.028986
딱충이,0.005944
독침붕,0.414367
구구,0.549247
피죤,0.431583
피죤투,0.494701
꼬렛,0.154965
레트라,0.226612
깨비참,0.00963
깨비드릴조,0.011038
아보,0.469037
아보크,0.244357
피카츄,0.972233
라이츄,0.784705
모래두지,0.294302
고지,0.357991
니드런♀,0.000756
니드리나,0.006672
니드퀸,0.188599
니드런♂,0.004729
니드리노,0.009623
니드킹,0.448432
삐삐,0.675551
픽시,0.527807
식스테일,0.498504
나인테일,0.62389
푸린,0.728496
푸크린,0.165939
주뱃,0.108594
골뱃,0.101547
뚜벅쵸,0.02907
냄새꼬,0.062281
라플레시아,0.404882
파라스,0.694638
파라섹트,0.226811
콘팡,0.055752
도나리,0.067549
디그다,0.52454
닥트리오,0.255698
나옹,0.646472
페르시온,0.01978
고라파덕,0.730625
골덕,0.303441
망키,0.118844
성원숭,0.327447
가디,0.656239
윈디,0.689647
발챙이,0.027636
슈륙챙이,0.005948
강챙이,0.148148
캐이시,0.016176
윤겔라,0.317234
후딘,0.605642
알통몬,0.229839
근육몬,0.355352
괴력몬,0.598204
모다피,0.453213
우츠동,0.242081
우츠보트,0.504024
왕눈해,0.040259
독파리,0.10174
꼬마돌,0.597367
데구리,0.270344
딱구리,0.317509
포니타,0.306376
날쌩마,0.212478
야돈,0.735157
야도란,0.005197
코일,0.513552
레어코일,0.146684
파오리,0.440583
두두,0.346741
두트리오,0.008889
쥬쥬,0.839649
쥬레곤,0.008136
질퍽이,0.126557
질뻐기,0.449568
셀러,0.310832
파르셀,0.371841
고오스,0.585146
고우스트,0.261589
팬텀,0.935135
롱스톤,0.611111
슬리프,0.074792
슬리퍼,0.845307
크랩,0.701859
킹크랩,0.332944
찌리리공,0.393636
붐볼,0.130519
아라리,0.343668
나시,0.494479
탕구리,0.363517
텅구리,0.359867
시라소몬,0.131115
홍수몬,0.128255
내루미,0.164897
또가스,0.435995
또도가스,0.360192
뿔카노,0.128422
코뿌리,0.456825
럭키,0.617194
덩쿠리,0.009623
캥카,0.575221
쏘드라,0.046462
시드라,0.154769
콘치,0.368488
왕콘치,0.004478
별가사리,0.336988
아쿠스타,0.708636
마임맨,0.113409
스라크,0.600823
루주라,0.539388
에레브,0.283029
마그마,0.492069
쁘사이저,0.15922
켄타로스,0.401878
잉어킹,0.792938
갸라도스,0.821666
라프라스,0.746729
메타몽,0.919395
이브이,0.932684
샤미드,0.478972
쥬피썬더,0.339763
부스터,0.692106
폴리곤,0.657769
암나이트,0.123772
암스타,0.262216
투구,0.798444
투구푸스,0.026929
프테라,0.617466
잠만보,0.837446
프리져,0.644803
썬더,0.797465
파이어,0.769492
미뇽,0.735881
신뇽,0.295574
망나뇽,0.885332
뮤츠,0.841033
뮤,0.965735
치코리타,0.54386
베이리프,0.044904
메가니움,0.540331
브케인,0.440735
마그케인,0.004454
블레이범,0.633068
리아코,0.569241
엘리게이,0.036049
장크로다일,0.552995
꼬리선,0.121631
다꼬리,0.363202
부우부,0.027636
야부엉,0.054001
레디바,0.039177
레디안,0.007498
페이검,0.046772
아리아도스,0.040211
크로뱃,0.432994
초라기,0.122498
랜턴,0.357496
피츄,0.656585
삐,0.3951
푸푸린,0.02951
토게피,0.591935
토게틱,0.151842
네이티,0.05583
네이티오,0.03741
메리프,0.337322
보송송,0.093496
전룡,0.615808
아르코,0.213682
마릴,0.429875
마릴리,0.397951
꼬지모,0.319614
왕구리,0.181651
통통코,0.187159
두코,0.124206
솜솜코,0.120894
에이팜,0.120474
해너츠,0.026144
해루미,0.00813
왕자리,0.171535
우파,0.605134
누오,0.422209
에브이,0.771592
블래키,0.735501
니로우,0.170186
야도킹,0.460324
무우마,0.393875
안농,0.506819
마자용,0.425657
키링키,0.282355
피콘,0.084699
쏘콘,0.153068
노고치,0.171004
글라이거,0.189206
강철톤,0.530154
블루,1e-06
그랑블루,0.170195
침바루,0.148313
핫삼,0.647214
단단지,0.411035
헤라크로스,0.602471
포푸니,0.382416
깜지곰,0.116755
링곰,0.181093
마그마그,0.061096
마그카르고,0.007413
꾸꾸리,0.038102
메꾸리,0.011086
코산호,0.131818
총어,0.024017
대포무노,0.005952
딜리버드,0.320415
만타인,0.049751
무장조,0.539872
델빌,0.033261
헬가,0.571758
킹드라,0.328478
코코리,0.255011
코리갑,0.301086
폴리곤2,0.166041
노라키,0.086007
루브도,0.191773
배루키,0.052482
카포에라,0.2341
뽀뽀라,0.011834
에레키드,0.005944
마그비,0.29958
밀탱크,0.300575
해피너스,0.432639
라이코,0.645602
앤테이,0.101078
스이쿤,0.550924
애버라스,0.31452
데기라스,0.15623
마기라스,0.782521
루기아,0.730414
칠색조,0.447816
세레비,0.528261
나무지기,0.34156
나무돌이,0.007424
나무킹,0.530411
아차모,0.275244
영치코,0.021214
번치코,0.643577
물짱이,0.20345
늪짱이,0.007424
대짱이,0.559235
포챠나,0.023324
그라에나,0.026909
지그제구리,0.085441
직구리,0.111921
개무소,0.114443
실쿤,0.005948
뷰티플라이,0.02622
카스쿤,0.024052
독케일,0.02687
연꽃몬,0.008172
로토스,0.127451
로파파,0.375078
도토링,0.02689
잎새코,0.001489
다탱구,0.035379
테일로,0.231937
스왈로,0.260178
갈모매,0.011103
패리퍼,0.107477
랄토스,0.70029
킬리아,0.307095
가디안,0.863442
비구술,0.005961
비나방,0.026144
버섯꼬,0.166459
버섯모,0.39979
게을로,0.016141
발바로,0.155471
게을킹,0.289502
토중몬,0.160703
아이스크,0.252104
껍질몬,0.402392
소곤룡,0.103286
노공룡,0.115588
폭음룡,0.147398
마크탕,0.057082
하리뭉,0.008902
루리리,0.241844
코코파스,0.017595
에나비,0.293031
델케티,0.059944
깜까미,0.459241
입치트,0.604107
가보리,0.290938
갱도라,0.005193
보스로라,0.526705
요가랑,0.132732
요가램,0.293404
썬더라이,0.128422
썬더볼트,0.402757
플러시,0.311941
마이농,0.17203
볼비트,0.137887
네오비트,0.008882
로젤리아,0.574431
꼴깍몬,0.02407
꿀꺽몬,0.015441
샤프니아,0.072664
샤크니아,0.233982
고래왕자,0.024035
고래왕,0.164794
둔타,0.064944
폭타,0.388958
코터스,0.144621
피그점프,0.005204
피그킹,0.049681
얼루기,0.072072
톱치,0.146046
비브라바,0.005201
플라이곤,0.41721
선인왕,0.00372
밤선인,0.028281
파비코,0.122047
파비코리,0.546635
쟝고,0.241026
세비퍼,0.035328
루나톤,0.051736
솔록,0.068942
미꾸리,0.193645
메깅,0.110226
가재군,0.005189
가재장군,0.008148
오뚝군,0.021152
점토도리,0.005939
릴링,0.042203
릴리요,0.047009
아노딥스,0.006677
아말도,0.045552
빈티나,0.509434
밀로틱,0.624647
캐스퐁,0.093926
켈리몬,0.076072
어둠대신,0.162703
다크펫,0.45989
해골몽,0.025566
미라몽,0.050355
트로피우스,0.082531
치렁,0.272431
앱솔,0.747052
마자,0.17716
눈꼬마,0.272628
얼음귀신,0.217417
대굴레오,0.050498
씨레오,0.002983
씨카이저,0.069453
진주몽,0.031936
헌테일,0.004814
분홍장이,1e-06
시라칸,0.011834
사랑동이,0.027677
아공이,0.326797
쉘곤,0.156368
보만다,0.63387
메탕,0.560012
